database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse,target_label
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0004482989949517,0.0123823791930835,0.9761642361632252,1.0249802231728995,1.0,0.0004482989949514,0.0123698507976145,Apparent endpoint
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.4853677405292849,0.041283287561646,0.4162168378608121,0.5759756762107955,1.0,-0.5146322594707151,0.5162799543726814,Retained reference
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9999564303192062,0.0094785028325338,0.979391297292936,1.0194503007517002,1.0,-4.356968079377577e-05,0.0094627924460461,Apparent endpoint
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.6928501218045406,0.0371213959341194,0.629016008619772,0.7765844636695622,1.0,-0.3071498781954593,0.30937752404594,Retained reference
INSPIRE,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9995547773062124,0.0069801943080663,0.9858001849519348,1.0141035744071738,1.0,-0.0004452226937875,0.0069827591573935,Apparent endpoint
INSPIRE,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.8543166106304064,0.0234605010598046,0.8124769012960433,0.9007605468578456,1.0,-0.1456833893695935,0.1475540931246,Retained reference
MIMIC,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9998425171253812,0.00293024024388,0.9942261361906936,1.0065909736334913,1.0,-0.0001574828746188,0.0029295883185804,Apparent endpoint
MIMIC,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.7707496084249347,0.0246316359400798,0.7231638436595204,0.817761781159012,1.0,-0.2292503915750653,0.2305654725555738,Retained reference
MIMIC,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9997727040543312,0.002190864767176,0.9955998015677276,1.0043529315472657,1.0,-0.0002272959456687,0.0021989889146781,Apparent endpoint
MIMIC,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.9127163465849268,0.0183769783102947,0.8745705539921714,0.9508876908580348,1.0,-0.0872836534150731,0.089190939978193,Retained reference
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9997916261562906,0.0019489886587906,0.9953024537585236,1.0038084739161448,1.0,-0.0002083738437094,0.0019568634584107,Apparent endpoint
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.9871809969904972,0.0115764645057114,0.963763335453476,1.007925487633213,1.0,-0.0128190030095028,0.0172596249527078,Retained reference
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9997131372890544,0.0034838379261106,0.9920298778986854,1.0064690713625108,1.0,-0.0002868627109455,0.0034898366468007,Apparent endpoint
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.7359697787797657,0.0277244536712789,0.6801988135855193,0.7989916148287898,1.0,-0.2640302212202343,0.2654770063449417,Retained reference
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0000903296079904,0.0023605023813625,0.9950166502541784,1.0051090174182151,1.0,9.032960799038035e-05,0.0023582955056968,Apparent endpoint
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.8675168203909607,0.0182172616495876,0.8328882544619493,0.9031238261461032,1.0,-0.1324831796090393,0.1337256717036427,Retained reference
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0000801152379446,0.0019864217296387,0.995478425172435,1.0034838417785277,1.0,8.011523794460018e-05,0.0019847258841055,Apparent endpoint
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.9620588757103584,0.0124042971968631,0.937809026988768,0.9868808446404156,1.0,-0.0379411242896416,0.0399109334979817,Retained reference
