target_database,INSPIRE,MIMIC,EICU,VitalDB
INSPIRE,0.4113514319809069,0.8240542959427208,0.5645316229116946,0.9044600238663484
MIMIC,0.3714023960535588,0.8629563072586328,0.6269274136715998,0.9836751233262864
EICU,0.3471472486935137,0.8657377805102981,0.6303197048877959,0.9802812788195512
VitalDB,0.318966049382716,0.8569753086419754,0.6151697530864197,0.962608024691358
