model,metric,n_replicates,mean,sd,q025,q50,q975
gradient_boosting,risk_spearman_vs_full_fit,200,0.8899866878797651,0.0439477513692883,0.7752397628530034,0.8994807539184364,0.944402298015304
gradient_boosting,top20_jaccard_vs_full_fit,200,0.6081711918213596,0.0570805699621648,0.5009092436461389,0.6019417475728155,0.7339770948974361
restricted_rf,risk_spearman_vs_full_fit,200,0.9037265889242326,0.0239070793020277,0.8448179123945057,0.9075114324289822,0.9380349822315066
restricted_rf,top20_jaccard_vs_full_fit,200,0.6721903240611832,0.0380369909460329,0.5922320126593341,0.6768361581920904,0.7399470033706299
ridge,risk_spearman_vs_full_fit,200,0.9741510876421188,0.0170714978604038,0.9303125316767696,0.9780234185263283,0.9934831889395463
ridge,top20_jaccard_vs_full_fit,200,0.8059796177400981,0.0516561503802256,0.6920360158415738,0.8097560975609757,0.8928571428571429
