database,feature_set,model,feature_count,pooled_auc,pooled_brier,pooled_abs_citl,worst_center_auc,worst_center_abs_citl,role,worst_estimable_center_abs_citl,worst_estimable_center_auc
source_4014,P,ridge,10,0.6814100259970408,0.0360066040177335,0.0215963651341571,0.6379310344827587,1.7825797153424012,,0.568684468269401,0.6793403044748577
source_4014,P,restricted_rf,10,0.7028220581965912,0.034909104556748,0.0352040485490274,0.706347070582808,1.7539488136555093,,0.5603199126252904,0.706347070582808
source_4014,P,gradient_boosting,10,0.6852728017453962,0.0350151615204313,0.0137167998798511,0.6838093956635398,1.687389070656926,,0.6277567850081215,0.6838093956635398
source_4014,PI,ridge,13,0.6925110132158591,0.0357765840248939,0.0117191881215948,0.5114942528735632,1.73291744437755,,0.7551883044597232,0.6984084268799017
source_4014,PI,restricted_rf,13,0.7034414732213761,0.0349341313374127,0.036635068548986,0.6985814239581732,1.7707275481944278,,0.6681805018201459,0.6985814239581732
source_4014,PI,gradient_boosting,13,0.6950003761629705,0.0349486286023036,0.0023518659941925,0.7032907888666768,1.703836132211849,,0.6697710122156004,0.7032907888666768
source_4014,H,ridge,9,0.6901202885587943,0.0365251884390204,0.0144014043558217,0.2471264367816091,5.0676440613233344,,0.7823270460038237,0.6942472460220319
source_4014,H,restricted_rf,9,0.7073192954885521,0.0347475206747033,0.0372966266541912,0.7194852375826543,1.777243626479884,,0.6499921735137196,0.7194852375826543
source_4014,H,gradient_boosting,9,0.6943065644617944,0.0349505481337313,0.0041524772606354,0.7032907888666768,1.714640617326374,,0.6697710122156004,0.7032907888666768
