split_definition,feature_set,model,n,events,event_rate,expected_events,oe_ratio,roc_auc,average_precision,brier,log_loss,calibration_in_the_large,calibration_intercept_joint,calibration_slope,calibration_inference_status,bootstrap_unit,n_bootstrap,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,calibration_in_the_large_ci_lower,calibration_in_the_large_ci_upper,calibration_intercept_joint_ci_lower,calibration_intercept_joint_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper,label
within_centre_70_30,PI,gradient_boosting,1204,37,0.0307308970099667,46.44871483628595,0.7965774754029454,0.7222955603418328,0.1406554803021621,0.0285513275009296,0.1255432934057834,-0.2461855053961331,-0.1335398462918772,1.0394660678529395,estimable,patient_within_validation_centre,1000,0.6070061811110007,0.8196863473158473,0.0779238838712645,0.2548819988451927,0.0203266523784454,0.0369200200484981,0.0969026205845846,0.1555450058903468,0.5437084354681935,1.033602991484249,-0.6502937830913763,0.0358554551409558,-1.4537647709841133,1.0790152431025175,0.6062484748231315,1.4744656766107036,PI: Gradient boosting
within_centre_70_30,PI,restricted_rf,1204,37,0.0307308970099667,47.32797816829827,0.7817785891556156,0.7469371685309988,0.1668338801340873,0.0279961381347434,0.1227877997047794,-0.2625391874089019,0.7912917621216917,1.37040533698562,estimable,patient_within_validation_centre,1000,0.6412531149094337,0.8378672843550403,0.0923339615901302,0.3088563623285405,0.0202492255344156,0.0363080829724238,0.0963710008474586,0.1509692472536757,0.5525288847099689,1.0182860963284983,-0.6261195735439529,0.0195202064009918,-0.6618631704847279,2.073322171612449,0.8979034018157119,1.8698772026132604,PI: Restricted random forest
within_centre_70_30,PI,ridge,1204,37,0.0307308970099667,47.94741155745011,0.7716787788568518,0.6776673846082587,0.1081275092171632,0.0295204112121738,0.1326464373484359,-0.2834099145274131,-1.142958515320815,0.7002257043191232,estimable,patient_within_validation_centre,1000,0.5673805995489989,0.7841038303500947,0.0571124369970236,0.2126815666275253,0.0214852163437326,0.0377869266538544,0.1035664591745533,0.1649996089508845,0.5523068235237955,1.0189431768924313,-0.6419109421598204,0.0204635794017103,-2.479138367002649,0.0049060574814429,0.3079138179646801,1.115452598731217,PI: Ridge
within_centre_70_30,PI,soft_voting,1204,37,0.0307308970099667,47.241368187344776,0.7832118632396367,0.7264642534565414,0.1495547988844504,0.0284474164989178,0.1247910355231118,-0.2624172597800051,0.17111539817618,1.15206651691252,estimable,patient_within_validation_centre,1000,0.6119638197639756,0.8190977070318106,0.0831278588295862,0.2596325975716857,0.020434882974537,0.0364050151114844,0.0970148083128335,0.1524014457881353,0.5519513456087463,1.0049664812570636,-0.6322838505292706,0.0053232455990962,-1.2460809572761615,1.4096598184534126,0.7069329541089393,1.5914474899310431,PI: Equal-weight voting
within_centre_70_30,P,gradient_boosting,1204,37,0.0307308970099667,47.2201585978988,0.7835636537156065,0.7052386576808172,0.1499720954872901,0.0282284439279323,0.1260152007185936,-0.2649417015067419,-0.2792925334699871,0.995004877480038,estimable,patient_within_validation_centre,1000,0.587695581994099,0.8060807541296645,0.0765448240226877,0.2841465246090431,0.0205598015884829,0.0371505059929394,0.0989749428301186,0.1567249149166741,0.5549136996255662,1.0437540248135388,-0.6338152755351791,0.0470573438726127,-1.7605246637646317,0.9892409699447188,0.5052091153374009,1.4386864574422795,P: Gradient boosting
within_centre_70_30,P,restricted_rf,1204,37,0.0307308970099667,47.103566124070696,0.7855031591990738,0.748373051714954,0.1668145823616292,0.0279096160824276,0.1226620710665716,-0.2583695079689505,0.5728157372584017,1.2937026040085773,estimable,patient_within_validation_centre,1000,0.6511366397934296,0.8424922608120126,0.0913783340429707,0.3080915059319455,0.0199272729750957,0.0362801231550468,0.0951840913890898,0.151389904854148,0.5500275251252719,1.026373617954996,-0.6330884446562554,0.0282970946302322,-0.7959489261488595,1.9129195166299413,0.850420492411949,1.7933078151088226,P: Restricted random forest
within_centre_70_30,P,ridge,1204,37,0.0307308970099667,48.8513181332827,0.7574002383938064,0.7003867620834202,0.1115126718558569,0.0289407575438159,0.1296569593949884,-0.2988062607568909,-0.5636562938591956,0.907816356417362,estimable,patient_within_validation_centre,1000,0.5904929574094987,0.8030394265529717,0.0614863718715906,0.2166305810292077,0.0207191700571773,0.0373997340639318,0.1004435519402006,0.1610848287099477,0.5345315269471534,1.003604045585459,-0.6652255563611962,0.0039286866435715,-2.098290511396188,0.8342096678709263,0.4180660299138189,1.409228198202235,P: Ridge
within_centre_70_30,P,soft_voting,1204,37,0.0307308970099667,47.72501428508407,0.775274781040012,0.732485699066676,0.1585722331298263,0.0281676645365645,0.1242006640307011,-0.2728499336498838,0.3359281500682195,1.214770962966222,estimable,patient_within_validation_centre,1000,0.6277845697354284,0.8294349526347349,0.0839712997945872,0.2980158871392587,0.0203729587538778,0.0368695294759202,0.0969015688178693,0.1552662652047697,0.5478223294359448,1.0382669159997415,-0.6384184019008431,0.0407416408079741,-1.172085747592554,1.7958347186096777,0.7198969110839042,1.757413972730692,P: Equal-weight voting
