outcome,risk_non_aki,risk_aki,risk_difference,risk_difference_ci_lower,risk_difference_ci_upper,n_observed,label
Reoperation30d,0.019658119658119658,0.087248322147651,0.06759020248953135,0.02524347870509158,0.11389157646956384,3659,30-day reoperation
Readmission30d,0.13622114562553433,0.10810810810810811,-0.02811303751742622,-0.07637100886144764,0.025891172732859194,3657,30-day readmission
Mortality90d,0.0034853325588149867,0.06293706293706294,0.059451730378247955,0.022955655139562554,0.10311594484173994,3586,90-day mortality
