hospital_cluster_code,n,creatinine_observed,dense_creatinine,urine_output_observed,creatinine_event_rate,urine_output_event_rate,multicomponent_event_rate
68,299,0.7090301003344481,0.2775919732441471,0.1605351170568562,0.0735785953177257,0.0066889632107023,0.0769230769230769
73,1573,0.9491417673235856,0.4787031150667514,0.3070565797838525,0.1500317863954227,0.017800381436745,0.1627463445645263
110,517,0.7214700193423598,0.1972920696324951,0.4061895551257253,0.1179883945841392,0.1489361702127659,0.2340425531914893
122,298,0.9228187919463088,0.4731543624161073,0.6375838926174496,0.1308724832214765,0.2382550335570469,0.3389261744966443
142,368,0.9375,0.3722826086956521,0.8152173913043478,0.2146739130434782,0.5135869565217391,0.5733695652173914
148,536,0.9589552238805972,0.2649253731343283,0.5055970149253731,0.126865671641791,0.2444029850746268,0.3283582089552239
152,446,0.9753363228699552,0.2533632286995516,0.4753363228699551,0.147982062780269,0.3004484304932735,0.3789237668161435
165,292,0.934931506849315,0.2808219178082192,0.589041095890411,0.1404109589041096,0.3527397260273973,0.4212328767123288
167,613,0.9575856443719412,0.2283849918433931,0.5954323001631321,0.1419249592169657,0.3817292006525285,0.4437194127243067
176,913,0.927710843373494,0.2825848849945235,0.4359255202628697,0.1139101861993428,0.1960569550930996,0.2738225629791895
183,275,0.8072727272727273,0.109090909090909,0.56,0.08,0.2909090909090909,0.3381818181818182
188,520,0.925,0.4173076923076923,0.6519230769230769,0.173076923076923,0.3423076923076923,0.4269230769230769
195,500,0.988,0.702,0.0,0.232,0.0,0.24
197,246,0.9878048780487804,0.6097560975609756,0.0,0.1097560975609756,0.0,0.1097560975609756
198,354,0.9689265536723164,0.7372881355932204,0.0,0.2175141242937853,0.0,0.2259887005649717
208,1025,0.9131707317073172,0.4117073170731707,0.1385365853658536,0.1434146341463414,0.0692682926829268,0.2146341463414634
212,9,0.8888888888888888,0.6666666666666666,0.0,0.2222222222222222,0.0,0.2222222222222222
217,258,0.9534883720930232,0.4651162790697674,0.1782945736434108,0.1627906976744186,0.0813953488372093,0.2248062015503876
227,371,0.954177897574124,0.5256064690026954,0.5309973045822103,0.1509433962264151,0.105121293800539,0.2210242587601078
243,312,0.9487179487179488,0.5352564102564102,0.3557692307692308,0.1891025641025641,0.0384615384615384,0.2307692307692307
248,619,0.9563812600969306,0.4943457189014539,0.3004846526655896,0.1260096930533118,0.0210016155088853,0.1502423263327948
252,668,0.938622754491018,0.4910179640718562,0.4610778443113772,0.1751497005988024,0.0404191616766467,0.2095808383233532
254,177,0.864406779661017,0.423728813559322,0.0,0.1186440677966101,0.0,0.1242937853107344
264,1129,0.941541186891054,0.4906997342781222,0.6031886625332152,0.1550044286979628,0.2418069087688219,0.3259521700620018
272,366,0.9344262295081968,0.4043715846994535,0.0,0.087431693989071,0.0,0.0983606557377049
281,760,0.9486842105263158,0.475,0.0,0.1986842105263158,0.0,0.2078947368421052
283,694,0.9812680115273776,0.6743515850144092,0.0,0.1527377521613832,0.0,0.1628242074927954
300,357,0.9019607843137256,0.1316526610644257,0.6694677871148459,0.1148459383753501,0.3081232492997199,0.3389355742296919
318,358,0.8966480446927374,0.3659217877094972,0.2486033519553072,0.1201117318435754,0.0754189944134078,0.1731843575418994
338,1160,0.8948275862068965,0.3801724137931034,0.6,0.1284482758620689,0.2482758620689655,0.321551724137931
382,708,0.9717514124293786,0.556497175141243,0.0,0.1836158192090395,0.0,0.1878531073446327
394,923,0.9685807150595884,0.4322860238353196,0.6988082340195017,0.0996749729144095,0.2643553629469122,0.3152762730227519
398,294,0.9455782312925172,0.3435374149659864,0.0,0.119047619047619,0.0,0.119047619047619
411,347,0.904899135446686,0.3515850144092219,0.1815561959654178,0.1066282420749279,0.0086455331412103,0.1181556195965417
413,421,0.9501187648456056,0.5748218527315915,0.173396674584323,0.2232779097387173,0.007125890736342,0.2327790973871734
416,198,0.9848484848484848,0.5252525252525253,0.5353535353535354,0.1515151515151515,0.0707070707070707,0.2171717171717171
419,12,1.0,0.1666666666666666,0.9166666666666666,0.0833333333333333,0.4166666666666667,0.4166666666666667
420,1435,0.9289198606271776,0.5428571428571428,0.8801393728222997,0.1491289198606271,0.535191637630662,0.5679442508710801
443,900,0.9644444444444444,0.5633333333333334,0.5533333333333333,0.1777777777777777,0.3355555555555555,0.4366666666666666
458,504,0.9345238095238096,0.6150793650793651,0.8353174603174603,0.1547619047619047,0.4146825396825397,0.4583333333333333
