target,nuisance_model,weight_truncation,observed_n,observed_fraction,weight_min,weight_p01,weight_median,weight_p99,weight_max,effective_sample_size,propensity_min,propensity_p01,propensity_p99,propensity_max
two_slot,logistic,none,2073,0.2905395935529082,1.079483906523979,1.275253835133309,2.492703014006075,6.549907072413896,12.32335976275327,1723.756244438011,0.005,0.005,0.6974185327637168,0.9824484087318244
two_slot,logistic,0.5_99.5,2073,0.2905395935529082,1.20294193169125,1.275253835133309,2.492703014006075,6.549907072413896,6.924375002463044,1743.194788491937,0.005,0.005,0.6974185327637168,0.9824484087318244
two_slot,logistic,1_99,2073,0.2905395935529082,1.275253835133309,1.276843193830949,2.492703014006075,6.541056368384436,6.549907072413896,1746.280233490258,0.005,0.005,0.6974185327637168,0.9824484087318244
two_slot,logistic,2.5_97.5,2073,0.2905395935529082,1.450862310151843,1.450862310151843,2.492703014006075,6.089647757631727,6.089647757631727,1754.744256688711,0.005,0.005,0.6974185327637168,0.9824484087318244
two_slot,gradient_boosting,none,2073,0.2905395935529082,1.214615916246091,1.354711600555596,2.442688934006576,9.250278525617384,17.19531639419483,1591.558512414599,0.005,0.005,0.6900497107494555,0.8584218688465037
two_slot,gradient_boosting,0.5_99.5,2073,0.2905395935529082,1.314805591169889,1.354711600555596,2.442688934006576,9.250278525617384,12.00922599593307,1613.285926678928,0.005,0.005,0.6900497107494555,0.8584218688465037
two_slot,gradient_boosting,1_99,2073,0.2905395935529082,1.354711600555596,1.355369013888619,2.442688934006576,9.232035488129602,9.250278525617384,1650.134415616738,0.005,0.005,0.6900497107494555,0.8584218688465037
two_slot,gradient_boosting,2.5_97.5,2073,0.2905395935529082,1.459870989870254,1.459870989870254,2.442688934006576,7.52468830123176,7.52468830123176,1687.898435134162,0.005,0.005,0.6900497107494555,0.8584218688465037
longitudinal_168h,logistic,none,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.008874354840231,1.039324966242246,1.107078203917497,6332.451744395617,0.005,0.005,0.995,0.995
longitudinal_168h,logistic,0.5_99.5,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.008874354840231,1.039324966242246,1.061632055969869,6332.513936990961,0.005,0.005,0.995,0.995
longitudinal_168h,logistic,1_99,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.008874354840231,1.039263877994711,1.039324966242246,6332.588088528984,0.005,0.005,0.995,0.995
longitudinal_168h,logistic,2.5_97.5,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.008874354840231,1.032873576387683,1.032873576387683,6332.617658366175,0.005,0.005,0.995,0.995
longitudinal_168h,gradient_boosting,none,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.005191840489052,1.081331025154726,1.410517717223398,6331.29719897008,0.005,0.005,0.995,0.995
longitudinal_168h,gradient_boosting,0.5_99.5,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.005191840489052,1.081331025154726,1.09985327319384,6331.77023057122,0.005,0.005,0.995,0.995
longitudinal_168h,gradient_boosting,1_99,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.005191840489052,1.081271268049423,1.081331025154726,6331.893921976575,0.005,0.005,0.995,0.995
longitudinal_168h,gradient_boosting,2.5_97.5,6333,0.8875963559915907,1.005025125628141,1.005025125628141,1.005191840489052,1.053724675396458,1.053724675396458,6332.180851827256,0.005,0.005,0.995,0.995
