method,event_rate,bias_vs_full_observable
full observable operational reference,0.058477508650519,0.0
naive dense subset,0.111317254174397,0.052839745523878
IPAW raw,0.0914948179312065,0.0330173092806875
IPAW truncated 99th percentile,0.0932562447313166,0.0347787360807976
AIPW,0.0868741103987707,0.0283966017482517
