target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,MIMIC,12.0,naive,reconstructed_observed,auc,100,0.8014903223996421,0.0062193395966997,0.7895320627612635,0.8125173637464261
EICU,MIMIC,12.0,naive,reconstructed_observed,calibration_intercept,100,-0.2413292042371815,0.0370944471649742,-0.3131858479626392,-0.1772794026262272
EICU,MIMIC,12.0,naive,reconstructed_observed,calibration_slope,100,0.9507677819573934,0.0299059946060117,0.893510754374045,1.0013654928655555
MIMIC,EICU,12.0,full_reference,retained_reference,outcome_observed_fraction,100,0.6021164978292329,0.0101609201358321,0.580852026049204,0.6206675108538351
MIMIC,EICU,12.0,full_reference,retained_reference,reconstructed_sensitivity,100,0.5184467265725289,0.013694476349323,0.4887516046213094,0.5473844672657252
MIMIC,EICU,12.0,full_reference,retained_reference,mean_retained_measurements,100,3.598722865412445,0.0392288028070576,3.537807525325615,3.6708393632416794
MIMIC,EICU,12.0,full_reference,retained_reference,event_rate,100,0.5636758321273517,1.1158161231197418e-16,0.5636758321273516,0.5636758321273516
MIMIC,EICU,12.0,full_reference,retained_reference,oe,100,1.0237172298447152,4.463264492478967e-16,1.0237172298447148,1.0237172298447148
MIMIC,EICU,12.0,full_reference,retained_reference,brier,100,0.1587005852546242,0.0,0.1587005852546242,0.1587005852546242
MIMIC,EICU,12.0,full_reference,retained_reference,auc,100,0.8462943093688595,0.0,0.8462943093688595,0.8462943093688595
MIMIC,EICU,12.0,full_reference,retained_reference,calibration_intercept,100,0.0913334423920857,2.7895403077993544e-17,0.0913334423920857,0.0913334423920857
MIMIC,EICU,12.0,full_reference,retained_reference,calibration_slope,100,0.913730459651562,1.1158161231197418e-16,0.9137304596515616,0.9137304596515616
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.6021164978292329,0.0101609201358321,0.580852026049204,0.6206675108538351
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.5184467265725289,0.013694476349323,0.4887516046213094,0.5473844672657252
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,3.598722865412445,0.0392288028070576,3.537807525325615,3.6708393632416794
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,event_rate,100,0.4853184586063224,0.0082933487901911,0.4685091653608382,0.5022528581457153
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,oe,100,1.0000542437168711,0.001081108739425,0.9982319533501952,1.0019597124187785
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,brier,100,0.1531168924385678,0.0034191773868829,0.147234967251882,0.1600595194667795
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,auc,100,0.857620825946611,0.006030539249465,0.8452491232870242,0.8695466553271317
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,calibration_intercept,100,-0.0004499496703729,0.0032436649594775,-0.0069208471929761,0.0055219002272755
MIMIC,EICU,12.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.991308197471302,0.0101443545552818,0.965613330293103,0.9998142129206292
MIMIC,EICU,12.0,local_recalibration,retained_reference,outcome_observed_fraction,100,0.6021164978292329,0.0101609201358321,0.580852026049204,0.6206675108538351
MIMIC,EICU,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,100,0.5184467265725289,0.013694476349323,0.4887516046213094,0.5473844672657252
MIMIC,EICU,12.0,local_recalibration,retained_reference,mean_retained_measurements,100,3.598722865412445,0.0392288028070576,3.537807525325615,3.6708393632416794
MIMIC,EICU,12.0,local_recalibration,retained_reference,event_rate,100,0.5636758321273517,1.1158161231197418e-16,0.5636758321273516,0.5636758321273516
MIMIC,EICU,12.0,local_recalibration,retained_reference,oe,100,1.156949625802149,0.015832778910625,1.1286738842389747,1.1861351603245949
MIMIC,EICU,12.0,local_recalibration,retained_reference,brier,100,0.1658045242409634,0.0012845126977251,0.1636657243726578,0.1682337474104809
MIMIC,EICU,12.0,local_recalibration,retained_reference,auc,100,0.845698199205087,0.0007103953508665,0.8441939718395612,0.8463604634082476
MIMIC,EICU,12.0,local_recalibration,retained_reference,calibration_intercept,100,0.4735581339102278,0.0406049861208828,0.398509081302398,0.5476830850315905
MIMIC,EICU,12.0,local_recalibration,retained_reference,calibration_slope,100,0.9334752191470632,0.0326426617389412,0.8683032491330474,1.0022824681955378
MIMIC,EICU,12.0,naive,reconstructed_observed,outcome_observed_fraction,100,0.6021164978292329,0.0101609201358321,0.580852026049204,0.6206675108538351
MIMIC,EICU,12.0,naive,reconstructed_observed,reconstructed_sensitivity,100,0.5184467265725289,0.013694476349323,0.4887516046213094,0.5473844672657252
MIMIC,EICU,12.0,naive,reconstructed_observed,mean_retained_measurements,100,3.598722865412445,0.0392288028070576,3.537807525325615,3.6708393632416794
MIMIC,EICU,12.0,naive,reconstructed_observed,event_rate,100,0.4853184586063224,0.0082933487901911,0.4685091653608382,0.5022528581457153
MIMIC,EICU,12.0,naive,reconstructed_observed,oe,100,0.8847448475787152,0.0120942274728728,0.8615724795186601,0.904631646851508
MIMIC,EICU,12.0,naive,reconstructed_observed,brier,100,0.1579313980136317,0.0032591018059057,0.151522984856065,0.164108802893624
MIMIC,EICU,12.0,naive,reconstructed_observed,auc,100,0.8585863874408928,0.0057316520467823,0.847868503535874,0.8702451366267577
MIMIC,EICU,12.0,naive,reconstructed_observed,calibration_intercept,100,-0.4095230265758736,0.0464412914941087,-0.4900991081403168,-0.322831052110664
MIMIC,EICU,12.0,naive,reconstructed_observed,calibration_slope,100,0.9739788372839844,0.0338334815127059,0.9092445156462649,1.047306998615236
MIMIC,MIMIC,12.0,full_reference,retained_reference,outcome_observed_fraction,100,0.8398335745296671,0.0064632885299502,0.8281476121562952,0.8511306078147612
MIMIC,MIMIC,12.0,full_reference,retained_reference,reconstructed_sensitivity,100,0.7648010269576379,0.0090487881226471,0.7486360718870347,0.783183568677792
MIMIC,MIMIC,12.0,full_reference,retained_reference,mean_retained_measurements,100,5.364446454413893,0.0383937378706472,5.289779305354559,5.424719609261939
MIMIC,MIMIC,12.0,full_reference,retained_reference,event_rate,100,0.5636758321273517,1.1158161231197418e-16,0.5636758321273516,0.5636758321273516
MIMIC,MIMIC,12.0,full_reference,retained_reference,oe,100,1.0237172298447152,4.463264492478967e-16,1.0237172298447148,1.0237172298447148
MIMIC,MIMIC,12.0,full_reference,retained_reference,brier,100,0.1587005852546242,0.0,0.1587005852546242,0.1587005852546242
MIMIC,MIMIC,12.0,full_reference,retained_reference,auc,100,0.8462943093688595,0.0,0.8462943093688595,0.8462943093688595
MIMIC,MIMIC,12.0,full_reference,retained_reference,calibration_intercept,100,0.0913334423920857,2.7895403077993544e-17,0.0913334423920857,0.0913334423920857
MIMIC,MIMIC,12.0,full_reference,retained_reference,calibration_slope,100,0.913730459651562,1.1158161231197418e-16,0.9137304596515616,0.9137304596515616
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.8398335745296671,0.0064632885299502,0.8281476121562952,0.8511306078147612
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.7648010269576379,0.0090487881226471,0.7486360718870347,0.783183568677792
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,5.364446454413893,0.0383937378706472,5.289779305354559,5.424719609261939
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,event_rate,100,0.5133163621234652,0.004675464244792,0.5051160298788059,0.5232906220671129
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,oe,100,1.0000727025098528,0.000822827731809,0.9985425344330268,1.0018005043066676
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,brier,100,0.1545714634414578,0.0022029874717356,0.150894495040656,0.1588091777231486
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,auc,100,0.8556777558374542,0.0039709048208668,0.8478565708282514,0.8622424314678628
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,calibration_intercept,100,0.0003315242848704,0.0027739313466499,-0.0047298957451994,0.0062038685519622
MIMIC,MIMIC,12.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.9930779814575108,0.0076137045654008,0.9750049223443392,1.0007031106051136
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,outcome_observed_fraction,100,0.8398335745296671,0.0064632885299502,0.8281476121562952,0.8511306078147612
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,100,0.7648010269576379,0.0090487881226471,0.7486360718870347,0.783183568677792
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,mean_retained_measurements,100,5.364446454413893,0.0383937378706472,5.289779305354559,5.424719609261939
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,event_rate,100,0.5636758321273517,1.1158161231197418e-16,0.5636758321273516,0.5636758321273516
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,oe,100,1.097613799584097,0.0096162208116609,1.0759283690646697,1.1150732963184824
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,brier,100,0.1617357005885783,0.0007038478654755,0.1604052280641534,0.1632559176018063
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,auc,100,0.8456608165845994,0.0008048589220059,0.8435840826888237,0.84634727783845
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,calibration_intercept,100,0.3135293889749759,0.0275447329587654,0.2506756159111068,0.363447414438417
MIMIC,MIMIC,12.0,local_recalibration,retained_reference,calibration_slope,100,0.941668068895934,0.0233591317845178,0.9041958894597216,0.980255275531171
