analysis_population,bootstrap_unit,bootstrap_replicates,random_seed,centre_sizes_preserved,outcome_stratified,event_count_mean,event_count_sd,event_count_q025,event_count_q975,oe_q025,oe_q975,uncertainty_included,uncertainty_excluded
locked_3710,analytic record within centre,1000,20260831,True,False,151.814,11.931293297868415,130.0,176.0,0.8436146377524048,1.1307314835073594,validation-sample uncertainty conditional on locked predictions,"model development, hyperparameter selection and model-selection uncertainty"
screened_4014_sensitivity,analytic record within centre,1000,20260832,True,False,154.853,11.958277107986392,131.0,177.0,0.8293913204112884,1.0947169568415074,validation-sample uncertainty conditional on locked predictions,"model development, hyperparameter selection and model-selection uncertainty"
