analysis,scenario,n,events,event_rate,auc,oe_ratio,calibration_intercept,calibration_slope,brier_score,interpretation
locked_LOCO_PI_restricted_rf,all_3710,3710,152,0.04097035040431267,0.7154300168634065,0.9814408144929792,0.22203399532967694,1.086248762709345,0.03689970353634281,fixed-prediction sensitivity conditional on observed monitoring opportunity; selection may be outcome-dependent
locked_LOCO_PI_restricted_rf,postoperative_stay_ge7_days,3545,149,0.042031029619181946,0.7109252100773906,1.0000793943306956,0.19372568360374703,1.0689521691803265,0.037796964088397576,fixed-prediction sensitivity conditional on observed monitoring opportunity; selection may be outcome-dependent
locked_LOCO_PI_restricted_rf,both_postoperative_creatinine_slots_observed,2920,143,0.04897260273972603,0.7182702065669295,1.1643095833563548,0.29844913501186837,1.0464946354555575,0.04358025655365129,fixed-prediction sensitivity conditional on observed monitoring opportunity; selection may be outcome-dependent
locked_LOCO_PI_restricted_rf,stay_ge7_and_both_creatinine_slots_observed,2824,141,0.04992917847025496,0.714990364866258,1.1786654718690133,0.27601891667078315,1.0336662646101997,0.04438405969612356,fixed-prediction sensitivity conditional on observed monitoring opportunity; selection may be outcome-dependent
