target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,EICU,24.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.616620402498265,0.012793898166914902,0.5968077723802915,0.6427827897293545
EICU,EICU,24.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.5477581120943953,0.020048324438394233,0.5117994100294986,0.5872418879056046
EICU,EICU,24.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,3.3444413601665515,0.053818158421582905,3.2511103400416377,3.4307251908396945
EICU,EICU,24.0,local_recalibration,reconstructed_observed,event_rate,100,0.4179287537960652,0.011417569729680457,0.39419852129716815,0.4359188061013119
EICU,EICU,24.0,local_recalibration,reconstructed_observed,oe,100,0.9997509741152587,0.0029580170445151063,0.9942344187626377,1.0059018230915489
EICU,EICU,24.0,local_recalibration,reconstructed_observed,brier,100,0.1831016776429128,0.004647421700314819,0.1742864304886439,0.1914805594463412
EICU,EICU,24.0,local_recalibration,reconstructed_observed,auc,100,0.7963466240903608,0.010907200545779094,0.7749178409982096,0.8149499620794297
EICU,EICU,24.0,local_recalibration,reconstructed_observed,calibration_intercept,100,-0.005903695978687043,0.010318411611186675,-0.025383038942676423,0.01008859474176679
EICU,EICU,24.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.9795505177531251,0.021543436384233044,0.9332848142706596,1.001455197260414
EICU,EICU,24.0,local_recalibration,retained_reference,outcome_observed_fraction,100,0.616620402498265,0.012793898166914902,0.5968077723802915,0.6427827897293545
EICU,EICU,24.0,local_recalibration,retained_reference,reconstructed_sensitivity,100,0.5477581120943953,0.020048324438394233,0.5117994100294986,0.5872418879056046
EICU,EICU,24.0,local_recalibration,retained_reference,mean_retained_measurements,100,3.3444413601665515,0.053818158421582905,3.2511103400416377,3.4307251908396945
EICU,EICU,24.0,local_recalibration,retained_reference,event_rate,100,0.47050659264399736,1.1158161231197418e-16,0.47050659264399725,0.47050659264399725
EICU,EICU,24.0,local_recalibration,retained_reference,oe,100,1.1269510641191303,0.027402819641302187,1.0829170389345604,1.1875580645942723
EICU,EICU,24.0,local_recalibration,retained_reference,brier,100,0.19133020354864247,0.0016994306813602985,0.18891787019616754,0.19478242744392238
EICU,EICU,24.0,local_recalibration,retained_reference,auc,100,0.7935082754381283,0.00166868497223118,0.7893980251839309,0.7953151760826114
EICU,EICU,24.0,local_recalibration,retained_reference,calibration_intercept,100,0.28023134061455174,0.060094061358917726,0.17870623074558803,0.4113291743701146
EICU,EICU,24.0,local_recalibration,retained_reference,calibration_slope,100,0.9770334091123568,0.05857412409479892,0.8730759882526378,1.1021145786979663
EICU,EICU,24.0,naive,reconstructed_observed,outcome_observed_fraction,100,0.616620402498265,0.012793898166914902,0.5968077723802915,0.6427827897293545
