prior,parameter,posterior_mean,posterior_median,credible_lower_95,credible_upper_95
primary,population_calibration_intercept,0.034558105949991355,0.031007657284020388,-1.2910472118772354,1.3959402272919486
primary,between_centre_intercept_sd,1.6783122625839473,1.570384557424494,0.7592866360380437,3.224110785335574
primary,common_calibration_slope,1.1454032870919526,1.1413393156169163,0.9697769728018075,1.3414125406687385
primary,new_centre_predictive_intercept,0.03889392324349507,0.04732525388111791,-3.8226828208157118,3.906273292438478
stronger_shrinkage,population_calibration_intercept,0.06897143187571397,0.06800520005723323,-0.8725987833814693,1.0005045384923987
stronger_shrinkage,between_centre_intercept_sd,1.038218070681953,0.9970782248741823,0.5628860428380865,1.7324497436839603
stronger_shrinkage,common_calibration_slope,1.1382921565438806,1.1344065046774099,0.969118574041143,1.3260481912612734
stronger_shrinkage,new_centre_predictive_intercept,0.07648235478992182,0.08490638340790574,-2.316541475873032,2.4514431284480533
weaker_shrinkage,population_calibration_intercept,0.0316924621153905,0.03179719579660674,-1.7164586557485673,1.7684182293824011
weaker_shrinkage,between_centre_intercept_sd,2.2804637689779126,2.0822939490697694,0.9032358898943662,4.800407703225322
weaker_shrinkage,common_calibration_slope,1.1507425593261367,1.1466238871116983,0.9738425275928979,1.3530931767915555
weaker_shrinkage,new_centre_predictive_intercept,0.013323667963609403,0.03299161995612179,-5.350496656724093,5.318319563252977
