assumed_fraction_of_recorded_events_preoperative,allocation,replicates,n_median,events_median,auc_median,auc_q025,auc_q975,oe_ratio_median,oe_ratio_q025,oe_ratio_q975,calibration_intercept_median,calibration_intercept_q025,calibration_intercept_q975,calibration_slope_median,calibration_slope_q025,calibration_slope_q975,brier_score_median,brier_score_q025,brier_score_q975,interpretation
0.0,none,1,3710.0,152.0,0.7154300168634065,0.7154300168634065,0.7154300168634065,0.9814408144929792,0.9814408144929792,0.9814408144929792,0.22203399532967694,0.22203399532967694,0.22203399532967694,1.086248762709345,1.086248762709345,1.086248762709345,0.03689970353634281,0.03689970353634281,0.03689970353634281,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.05,highest_locked_risk,1,3702.0,144.0,0.6997279214290175,0.6997279214290175,0.6997279214290175,0.9442946871760962,0.9442946871760962,0.9442946871760962,-0.11401930863079034,-0.11401930863079034,-0.11401930863079034,0.981839688050737,0.981839688050737,0.981839688050737,0.0359120050155255,0.0359120050155255,0.0359120050155255,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.05,highest_preop_creatinine,1,3702.0,144.0,0.6999992192867404,0.6999992192867404,0.6999992192867404,0.9416833777976851,0.9416833777976851,0.9416833777976851,-0.09108412225045591,-0.09108412225045591,-0.09108412225045591,0.9909068381227905,0.9909068381227905,0.9909068381227905,0.035744383593769496,0.035744383593769496,0.035744383593769496,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.05,lowest_locked_risk,1,3702.0,144.0,0.7526329554681157,0.7526329554681157,0.7526329554681157,0.9302889251119503,0.9302889251119503,0.9302889251119503,0.5342638729987176,0.5342638729987176,0.5342638729987176,1.2216747538376753,1.2216747538376753,1.2216747538376753,0.034863440877358175,0.034863440877358175,0.034863440877358175,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.05,random,1000,3702.0,144.0,0.7153363312722503,0.705129725267004,0.7273124482777467,0.9340749830426033,0.9319118470020682,0.9372142459333775,0.17253190752142372,0.048717120905997585,0.2930698226237571,1.0878864381319386,1.0422147957969692,1.1324312356994106,0.035169421807264026,0.03500256751158643,0.035407916830035316,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.1,highest_locked_risk,1,3695.0,137.0,0.6846727637522925,0.6846727637522925,0.6846727637522925,0.909089073485444,0.909089073485444,0.909089073485444,-0.45847421307024455,-0.45847421307024455,-0.45847421307024455,0.8775207750310071,0.8775207750310071,0.8775207750310071,0.03493219690706097,0.03493219690706097,0.03493219690706097,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.1,highest_preop_creatinine,1,3695.0,137.0,0.6848061118564929,0.6848061118564929,0.6848061118564929,0.9080114950204927,0.9080114950204927,0.9080114950204927,-0.4413585275014521,-0.4413585275014521,-0.4413585275014521,0.8837007893136694,0.8837007893136694,0.8837007893136694,0.034858598427755086,0.034858598427755086,0.034858598427755086,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.1,lowest_locked_risk,1,3695.0,137.0,0.7851115815905761,0.7851115815905761,0.7851115815905761,0.8856063377495996,0.8856063377495996,0.8856063377495996,0.7821731932069266,0.7821731932069266,0.7821731932069266,1.3354479984109116,1.3354479984109116,1.3354479984109116,0.03308575633196258,0.03308575633196258,0.03308575633196258,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.1,random,1000,3695.0,137.0,0.7146504433311587,0.7004769246234455,0.7320812972103576,0.8923866869590255,0.8893542276651206,0.89607100132453,0.11959307949809463,-0.04891710610398939,0.30563417775023244,1.086609741870972,1.0244037036889477,1.1552246783735314,0.0336618703620008,0.033417549908985954,0.0339625677936836,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.2,highest_locked_risk,1,3680.0,122.0,0.6476123996719467,0.6476123996719467,0.6476123996719467,0.8251066510777885,0.8251066510777885,0.8251066510777885,-1.2905378357466948,-1.2905378357466948,-1.2905378357466948,0.6371478593761615,0.6371478593761615,0.6371478593761615,0.032393362578502206,0.032393362578502206,0.032393362578502206,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.2,highest_preop_creatinine,1,3680.0,122.0,0.6481514757784351,0.6481514757784351,0.6481514757784351,0.824168063734608,0.824168063734608,0.824168063734608,-1.244385478471728,-1.244385478471728,-1.244385478471728,0.6522799286530525,0.6522799286530525,0.6522799286530525,0.03231529984191171,0.03231529984191171,0.03231529984191171,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.2,lowest_locked_risk,1,3680.0,122.0,0.8450317455929377,0.8450317455929377,0.8450317455929377,0.7902645742855525,0.7902645742855525,0.7902645742855525,1.1933040205200913,1.1933040205200913,1.1933040205200913,1.5470656457915604,1.5470656457915604,1.5470656457915604,0.029315292677187667,0.029315292677187667,0.029315292677187667,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
0.2,random,1000,3680.0,122.0,0.7159282015130991,0.69406610247975,0.7405393583151337,0.8019090333843417,0.7978971954790464,0.8059137210786904,0.019075631571646615,-0.22989867157766922,0.2761914396213916,1.0921819659914571,1.000617294078262,1.1878923247607187,0.03041213592492434,0.030053640195868373,0.030766171149201042,sensitivity envelope only; cannot identify which patients had preoperative AKI or restore source eligibility
