dataset,n,events,event_rate,mean_prediction,oe_ratio,roc_auc,average_precision,brier,calibration_intercept,calibration_slope,event_rate_ci_lower,event_rate_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,calibration_intercept_ci_lower,calibration_intercept_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper
VitalDB development (5-fold out-of-fold),133,13,0.09774436090225563,0.09998889870217881,0.9775521299958646,0.7147435897435898,0.19466026846867793,0.08595543109696202,-0.17493439714549797,0.9277104602197602,0.045112781954887216,0.15037593984962405,0.4799647580015494,1.5086143016973996,0.5630146204823393,0.847859773625584,0.1056571232162996,0.39299987622776134,0.04837167928733664,0.12563562825786895,-2.351949018265031,2.109862471542628,0.009048959030110274,2.0860403265672254
Five-centre expert-KDIGO external cohort,3710,152,0.04097035040431267,0.09269826262774762,0.44197538597717906,0.6498698263364989,0.07994629388841056,0.04190155326786885,-0.7876003377055346,1.0479972149475665,0.03423180592991914,0.04716981132075472,0.36967469465663877,0.5063826959631739,0.6037459826180783,0.6966206545712487,0.06135465822784531,0.10758166290571199,0.03674622968181678,0.04649579790896537,-1.4920017626785367,-0.14996886879406301,0.7520147743552872,1.3539435276325003
