model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,calibration_intercept,300,-0.3442382375917427,0.4253124772872047,-1.668381236124419,0.30287842643923396,-0.2251105788481786,-0.11912765874356412,0.44099788367154497
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,calibration_slope,300,0.805873425303474,0.24947269652001353,-0.0036437410396040013,1.2140818521985244,0.6581631632744896,0.1477102620289843,0.2895643147844846
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,ess,300,47.239820830837985,10.2576547465937,25.268306335565242,64.12894842535252,324.0,-276.76017916916203,276.949572166205
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,event_rate_se,300,0.02605442576258643,0.006136946476139804,0.017737819995997765,0.04312050782926827,0.019390267411834264,0.006664158350752167,0.009052490165772139
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,weight_p99,300,16.38957449150208,4.457900337763646,9.773671153061624,26.160373798124105,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,weight_max,300,25.098537340759982,12.906765166631228,12.011344228647793,60.16387364891232,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,event_rate_interval_coverage,300,0.6366666666666667,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,event_rate,300,0.1419753086419753,0.0,0.1419753086419753,0.1419753086419753,0.1419753086419753,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,oe,300,1.416775064642062,2.224156070299059e-16,1.4167750646420618,1.4167750646420618,1.4167750646420618,2.220446049250313e-16,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,brier,300,0.11053590028892503,0.0,0.11053590028892503,0.11053590028892503,0.11053590028892503,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,auc,300,0.7044103847356897,0.0,0.7044103847356897,0.7044103847356897,0.7044103847356897,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,calibration_intercept,300,-0.2251105788481786,0.0,-0.2251105788481786,-0.2251105788481786,-0.2251105788481786,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,calibration_slope,300,0.6581631632744896,0.0,0.6581631632744896,0.6581631632744896,0.6581631632744896,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,ess,300,324.0,0.0,324.0,324.0,324.0,0.0,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,event_rate_se,300,0.01939026741183426,3.475243859842279e-18,0.019390267411834264,0.019390267411834264,0.019390267411834264,-3.469446951953614e-18,0.0
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,full_reference,full,event_rate_interval_coverage,300,1.0,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.24726011278831517,0.030493098998017366,0.1906704781704782,0.30851063829787234,0.1419753086419753,0.10528480414633987,0.10959753482787689
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,oe,300,1.3939667760471393,0.16579118154025346,1.0828848206483286,1.7087805102627893,1.4167750646420618,-0.022808288594922566,0.16707875843112888
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,brier,300,0.16943958195424216,0.021801631257740834,0.13256409227438534,0.21449563642928068,0.11053590028892503,0.058903681665317134,0.06279626158306871
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,auc,300,0.6916290653624625,0.04079625078933648,0.6131235704827255,0.777937595129376,0.7044103847356897,-0.01278131937322724,0.042686630496272644
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,calibration_intercept,300,-0.04755049379756892,0.19981868409625755,-0.4231748594262104,0.394077384260235,-0.2251105788481786,0.17756008505060966,0.26706178803557773
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,calibration_slope,300,0.6208726492304076,0.12107548486743187,0.41155938365064026,0.8977747724749509,0.6581631632744896,-0.03729051404408201,0.12649502452706451
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,naive,reconstructed,ess,300,102.88333333333334,6.536472580953794,90.0,115.0,324.0,-221.11666666666667,221.212936631955
