database,reference_fraction,strategy,metric,n_replicates,mean,sd,q025,q50,q975
EICU,0.05,cluster_stratified,reference_n,500,163.0,0.0,163.0,163.0,163.0
EICU,0.05,cluster_stratified,reference_events,500,36.818,5.366794291001272,27.0,36.5,48.0
EICU,0.05,cluster_stratified,reference_weight_ess,500,162.6538340984751,2.84501738435774e-14,162.65383409847513,162.65383409847513,162.65383409847513
EICU,0.05,cluster_stratified,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.05,cluster_stratified,heldout_oe,500,1.015443694296318,0.161713502669141,0.7466070689706977,0.994685764594455,1.3788066812787985
EICU,0.05,cluster_stratified,heldout_calibration_slope,500,1.0611102406815625,3.9457713971577117,0.316507451554444,0.9308577353292306,5.049228276355665
EICU,0.05,cluster_stratified,heldout_brier,500,0.17195611983589218,0.002498102223864269,0.16951256022857722,0.1712935628786989,0.17959679289492053
EICU,0.05,cluster_stratified,absolute_log_oe,500,0.11933359874683615,0.09652210272916258,0.0053241151672511165,0.09895631752769628,0.35221483720286395
EICU,0.05,random,reference_n,500,163.0,0.0,163.0,163.0,163.0
EICU,0.05,random,reference_events,500,36.444,5.14546554077107,27.0,37.0,47.0
EICU,0.05,random,reference_weight_ess,500,163.0,0.0,163.0,163.0,163.0
EICU,0.05,random,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.05,random,heldout_oe,500,1.0276511385319274,0.16020905075213993,0.7743604606079657,1.0073090011687926,1.386610970202414
EICU,0.05,random,heldout_calibration_slope,500,1.607820226313288,6.5407820145566955,-2.5642753929145545,0.9869634629090892,9.858650204003807
EICU,0.05,random,heldout_brier,500,0.1719508756914432,0.0024802486160544735,0.16944105284060565,0.17110220507656237,0.17870900627734435
EICU,0.05,random,absolute_log_oe,500,0.12206532389028658,0.09052821115326173,0.004778578752326097,0.10450183232028597,0.32846780263479225
EICU,0.05,risk_enriched,reference_n,500,163.0,0.0,163.0,163.0,163.0
EICU,0.05,risk_enriched,reference_events,500,44.304,5.3689137140522085,35.0,44.0,55.0
EICU,0.05,risk_enriched,reference_weight_ess,500,120.52674738429394,2.84501738435774e-14,120.52674738429397,120.52674738429397,120.52674738429397
EICU,0.05,risk_enriched,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.05,risk_enriched,heldout_oe,500,1.014263806309258,0.175473095721932,0.7437306306707065,0.9864533797603598,1.4038494979027987
EICU,0.05,risk_enriched,heldout_calibration_slope,500,1.522431432605398,6.560087733527843,0.3878516156595755,0.9339274640014664,6.883303118535396
EICU,0.05,risk_enriched,heldout_brier,500,0.17078857855225477,0.002321325838206534,0.1682535767333893,0.17016391019823485,0.17647302231574422
EICU,0.05,risk_enriched,absolute_log_oe,500,0.13383315542452623,0.1003912773701237,0.0057408262375376945,0.10590097665543169,0.36807790002271584
EICU,0.05,risk_quintile_equal,reference_n,500,163.0,0.0,163.0,163.0,163.0
EICU,0.05,risk_quintile_equal,reference_events,500,36.566,5.282940746009906,26.0,36.0,47.0
EICU,0.05,risk_quintile_equal,reference_weight_ess,500,162.96348894128246,0.0,162.96348894128246,162.96348894128246,162.96348894128246
EICU,0.05,risk_quintile_equal,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.05,risk_quintile_equal,heldout_oe,500,1.0204208591236124,0.16186730992317858,0.7603896413832156,1.0075066830423824,1.396179100801984
EICU,0.05,risk_quintile_equal,heldout_calibration_slope,500,1.0653447664898035,6.638190221594969,0.39539785925166593,0.9576701353244588,5.609702429821171
EICU,0.05,risk_quintile_equal,heldout_brier,500,0.17197582521977403,0.0025298015560032325,0.16953369558381742,0.17115911333338935,0.17861441663526736
EICU,0.05,risk_quintile_equal,absolute_log_oe,500,0.1229338599587938,0.09347523186478952,0.008229071413255967,0.10327398404107185,0.3506725540478464
EICU,0.1,cluster_stratified,reference_n,500,326.0,0.0,326.0,326.0,326.0
EICU,0.1,cluster_stratified,reference_events,500,73.956,7.3149902367897015,60.475,74.0,88.0
EICU,0.1,cluster_stratified,reference_weight_ess,500,325.9594640782769,5.69003476871548e-14,325.9594640782768,325.9594640782768,325.9594640782768
EICU,0.1,cluster_stratified,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.1,cluster_stratified,heldout_oe,500,1.000304234011809,0.1092455669945781,0.8129594863349031,0.9919395682945298,1.2316648933835617
EICU,0.1,cluster_stratified,heldout_calibration_slope,500,1.1188991970843716,1.600839351100709,0.5442687394523853,0.9844512527330249,2.6623061689520826
EICU,0.1,cluster_stratified,heldout_brier,500,0.17064024017268936,0.0015889725017171443,0.16880876042427786,0.17020725384209412,0.17504370779521905
EICU,0.1,cluster_stratified,absolute_log_oe,500,0.08686867865326503,0.06482174747939934,0.00326432046964984,0.07641637240727123,0.2411028040249054
EICU,0.1,random,reference_n,500,326.0,0.0,326.0,326.0,326.0
EICU,0.1,random,reference_events,500,72.562,6.830774110589502,58.0,73.0,85.52499999999998
EICU,0.1,random,reference_weight_ess,500,326.0,0.0,326.0,326.0,326.0
EICU,0.1,random,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.1,random,heldout_oe,500,1.019757723963198,0.10978094962228961,0.8459115434315351,1.0050828484089465,1.2704556081613831
EICU,0.1,random,heldout_calibration_slope,500,1.1648776729171746,1.190804659380022,0.5367455799056166,1.0183701371648812,3.0323803566849654
EICU,0.1,random,heldout_brier,500,0.17083291742185047,0.0018118389470364786,0.16888638277635007,0.170277391335517,0.17571847612293062
EICU,0.1,random,absolute_log_oe,500,0.08382596017190784,0.06485449314522707,0.0034167021437944136,0.06915475405337423,0.2401658311162034
EICU,0.1,risk_enriched,reference_n,500,326.0,0.0,326.0,326.0,326.0
EICU,0.1,risk_enriched,reference_events,500,88.09,7.149554689946015,73.475,88.0,103.0
EICU,0.1,risk_enriched,reference_weight_ess,500,239.7578977802273,2.84501738435774e-14,239.75789778022732,239.75789778022732,239.75789778022732
EICU,0.1,risk_enriched,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.1,risk_enriched,heldout_oe,500,1.0098556829182033,0.12457258433133694,0.7901700240592789,0.9994065206995592,1.299243968450904
EICU,0.1,risk_enriched,heldout_calibration_slope,500,1.1708672083625769,0.8601127009143092,0.5034250957636669,0.9547821404187685,3.2405324431218276
EICU,0.1,risk_enriched,heldout_brier,500,0.16847559647164181,0.001588534463341478,0.16651092496915074,0.16804983546763047,0.17279055259559445
EICU,0.1,risk_enriched,absolute_log_oe,500,0.09579220579586163,0.07528196927965769,0.003302982807141794,0.07820029029682546,0.2871308300611458
EICU,0.1,risk_quintile_equal,reference_n,500,326.0,0.0,326.0,326.0,326.0
EICU,0.1,risk_quintile_equal,reference_events,500,72.786,6.589008580062426,61.0,73.0,86.0
EICU,0.1,risk_quintile_equal,reference_weight_ess,500,325.9888753024343,1.138006953743096e-13,325.98887530243417,325.98887530243417,325.98887530243417
EICU,0.1,risk_quintile_equal,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.1,risk_quintile_equal,heldout_oe,500,1.0157290669668022,0.10391547216538934,0.8363358595819724,1.0079875037190749,1.2292453696441739
EICU,0.1,risk_quintile_equal,heldout_calibration_slope,500,1.2252442586942836,1.1665108657320797,0.5160723992936409,1.0124707482448767,3.617405310229392
EICU,0.1,risk_quintile_equal,heldout_brier,500,0.1707985892931277,0.0016742532438179607,0.16892870922084519,0.17028548801300508,0.17477135823096057
EICU,0.1,risk_quintile_equal,absolute_log_oe,500,0.08125605565223577,0.061560697314546726,0.0025644953770300486,0.06879098345462152,0.22216440578729454
EICU,0.2,cluster_stratified,reference_n,500,651.0,0.0,651.0,651.0,651.0
EICU,0.2,cluster_stratified,reference_events,500,145.934,9.709696205381588,127.0,146.0,164.0
EICU,0.2,cluster_stratified,reference_weight_ess,500,650.9875834606383,1.138006953743096e-13,650.9875834606382,650.9875834606382,650.9875834606382
EICU,0.2,cluster_stratified,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.2,cluster_stratified,heldout_oe,500,1.0084878900711927,0.08346155748136472,0.85962990460634,1.0048739432512943,1.17965492626901
EICU,0.2,cluster_stratified,heldout_calibration_slope,500,1.0788418998498004,0.40327228291935646,0.5702589372283733,0.9934251950938328,2.0620201825057705
EICU,0.2,cluster_stratified,heldout_brier,500,0.1703877480304418,0.002060974267908155,0.16703403947580134,0.17014771846092697,0.17506063866928182
EICU,0.2,cluster_stratified,absolute_log_oe,500,0.06672860037262283,0.04871462403452423,0.004007448886676379,0.0581925842357609,0.17667023834427018
EICU,0.2,random,reference_n,500,651.0,0.0,651.0,651.0,651.0
EICU,0.2,random,reference_events,500,146.86,9.995209273288562,129.475,147.0,168.0
EICU,0.2,random,reference_weight_ess,500,650.9999999999999,1.138006953743096e-13,650.9999999999998,650.9999999999998,650.9999999999998
EICU,0.2,random,fit_failed,500,0.0,0.0,0.0,0.0,0.0
EICU,0.2,random,heldout_oe,500,1.0005208677114463,0.08466347096860363,0.8506408565177491,0.999304237630187,1.1701284401939258
EICU,0.2,random,heldout_calibration_slope,500,1.0832325660948767,0.3900110135110772,0.5780290707744409,1.013393933714588,1.9378333227788358
EICU,0.2,random,heldout_brier,500,0.17016137732258413,0.0021052068925584955,0.16685741304045426,0.16989615480693146,0.17470986267269012
EICU,0.2,random,absolute_log_oe,500,0.06807210687770007,0.04998330809802634,0.0022138899378722366,0.06098010872295399,0.18516529313129143
EICU,0.2,risk_enriched,reference_n,500,651.0,0.0,651.0,651.0,651.0
