database,sampling_layer,metric,n_replicates,mean,sd,mcse_of_mean,q025,q975
EICU,deletion_given_fixed_cohort,full_reference_event_rate,300,0.2247156470949892,2.7801950878738235e-17,1.605146382383627e-18,0.22471564709498923,0.22471564709498923
EICU,deletion_given_fixed_cohort,evaluable_reference_event_rate,300,0.38688128623033957,0.009031209067138654,0.000521417098602029,0.3709418914254721,0.4047846319055005
EICU,deletion_given_fixed_cohort,evaluable_reconstructed_event_rate,300,0.32942285070423755,0.009879563044202063,0.000570396838304594,0.30976805026171633,0.34998683786397333
EICU,deletion_given_fixed_cohort,full_mean_prediction,300,0.27185942811245006,5.560390175747647e-17,3.210292764767254e-18,0.27185942811245,0.27185942811245
EICU,deletion_given_fixed_cohort,evaluable_mean_prediction,300,0.3184670353551891,0.0019454351350857567,0.00011231974989327175,0.3145093348623827,0.32189141893512563
EICU,deletion_given_fixed_cohort,full_reference_oe,300,0.8265876547126386,0.0,0.0,0.8265876547126386,0.8265876547126386
EICU,deletion_given_fixed_cohort,evaluable_reference_oe,300,1.2148471395878297,0.02838790784195977,0.001638976623428576,1.160845135185689,1.2725498125381265
EICU,deletion_given_fixed_cohort,evaluable_reconstructed_oe,300,1.0344198339215822,0.030965095957992295,0.0017877706486829443,0.9713824166670179,1.0945871187857936
EICU,deletion_given_fixed_cohort,outcome_observed_fraction,300,0.36078389179219184,0.007037530446033163,0.00040631200974474335,0.3469028588994774,0.37427758991699966
EICU,deletion_given_fixed_cohort,reconstructed_sensitivity,300,0.5288098495212038,0.016417759652687807,0.0009478797954969882,0.49658002735978113,0.5622435020519836
EICU,deletion_given_fixed_cohort,reconstructed_specificity,300,1.0,0.0,0.0,1.0,1.0
EICU,deletion_given_fixed_cohort,selection_component,300,0.1621656391353503,0.009031209067138654,0.000521417098602029,0.1462262443304829,0.18006898481051128
EICU,deletion_given_fixed_cohort,reconstruction_component,300,-0.05745843552610196,0.006216268308838142,0.0003588964181462641,-0.06916818468834748,-0.04556801336719491
EICU,deletion_given_fixed_cohort,total_apparent_event_rate_bias,300,0.10470720360924833,0.009879563044202063,0.000570396838304594,0.0850524031667271,0.12527119076898413
INSPIRE,deletion_given_fixed_cohort,full_reference_event_rate,300,0.08233890214797136,0.0,0.0,0.08233890214797136,0.08233890214797136
INSPIRE,deletion_given_fixed_cohort,evaluable_reference_event_rate,300,0.23540179956617777,0.011203263879388416,0.0006468207416567312,0.21311157231254083,0.2574867594076397
INSPIRE,deletion_given_fixed_cohort,evaluable_reconstructed_event_rate,300,0.21116823780527955,0.012279414562037017,0.0007089523302883081,0.18697976198480468,0.2363421528720036
INSPIRE,deletion_given_fixed_cohort,full_mean_prediction,300,0.04579004420917477,0.0,0.0,0.04579004420917477,0.04579004420917477
INSPIRE,deletion_given_fixed_cohort,evaluable_mean_prediction,300,0.06763411628439263,0.0010834045853899833,6.255039290161817e-05,0.06561025359079774,0.0700184601942601
INSPIRE,deletion_given_fixed_cohort,full_reference_oe,300,1.798183504078676,2.224156070299059e-16,1.2841171059069017e-17,1.7981835040786758,1.7981835040786758
INSPIRE,deletion_given_fixed_cohort,evaluable_reference_oe,300,3.4808204626736603,0.16245873808765432,0.009379559616711412,3.1403655123845424,3.7840392671518917
INSPIRE,deletion_given_fixed_cohort,evaluable_reconstructed_oe,300,3.1224235255924713,0.1779943896104952,0.010276510875586254,2.768077704682546,3.4601598248050824
INSPIRE,deletion_given_fixed_cohort,outcome_observed_fraction,300,0.24819013524264122,0.008094036440376056,0.00046730941176817555,0.23119033412887827,0.26252983293556087
INSPIRE,deletion_given_fixed_cohort,reconstructed_sensitivity,300,0.6360628019323671,0.03501679406215256,0.002021695547794147,0.5614130434782608,0.7067028985507245
INSPIRE,deletion_given_fixed_cohort,reconstructed_specificity,300,1.0,0.0,0.0,1.0,1.0
INSPIRE,deletion_given_fixed_cohort,selection_component,300,0.15306289741820645,0.01120326387938842,0.0006468207416567315,0.13077267016456948,0.1751478572596684
INSPIRE,deletion_given_fixed_cohort,reconstruction_component,300,-0.02423356176089824,0.0068494826391996685,0.0003954550645551597,-0.03769371820655388,-0.011532167943805868
INSPIRE,deletion_given_fixed_cohort,total_apparent_event_rate_bias,300,0.1288293356573082,0.012279414562037017,0.0007089523302883081,0.10464085983683331,0.15400325072403223
MIMIC,deletion_given_fixed_cohort,full_reference_event_rate,300,0.22832980972515857,0.0,0.0,0.22832980972515857,0.22832980972515857
MIMIC,deletion_given_fixed_cohort,evaluable_reference_event_rate,300,0.38936316798803866,0.0076963474795934675,0.00044434882891201857,0.375347788908674,0.404059421182266
MIMIC,deletion_given_fixed_cohort,evaluable_reconstructed_event_rate,300,0.32220730511799994,0.007917278942626126,0.0004571043128774549,0.3057011920982264,0.3368913713405239
MIMIC,deletion_given_fixed_cohort,full_mean_prediction,300,0.22503491058766373,2.7801950878738235e-17,1.605146382383627e-18,0.2250349105876637,0.2250349105876637
MIMIC,deletion_given_fixed_cohort,evaluable_mean_prediction,300,0.27652774792652224,0.001877640328381669,0.00010840561490324538,0.27303314832751213,0.28008903559575177
MIMIC,deletion_given_fixed_cohort,full_reference_oe,300,1.014641724383521,0.0,0.0,1.014641724383521,1.014641724383521
MIMIC,deletion_given_fixed_cohort,evaluable_reference_oe,300,1.4080868801721158,0.028366846760916546,0.001637760661347603,1.3526749072488096,1.4585633293560212
MIMIC,deletion_given_fixed_cohort,evaluable_reconstructed_oe,300,1.1652210354531414,0.02878576837113323,0.0016619471117903985,1.1076391153775942,1.2167171551733371
MIMIC,deletion_given_fixed_cohort,outcome_observed_fraction,300,0.4319661733615222,0.007310461555836253,0.00042206969471624705,0.41858703312191686,0.44608879492600423
MIMIC,deletion_given_fixed_cohort,reconstructed_sensitivity,300,0.6094855967078189,0.015097941564214548,0.0008716800626308508,0.5771604938271605,0.6404320987654321
MIMIC,deletion_given_fixed_cohort,reconstructed_specificity,300,1.0,0.0,0.0,1.0,1.0
MIMIC,deletion_given_fixed_cohort,selection_component,300,0.16103335826288015,0.0076963474795934675,0.00044434882891201857,0.14701797918351545,0.17572961145710744
MIMIC,deletion_given_fixed_cohort,reconstruction_component,300,-0.06715586287003876,0.006254612506435213,0.00036111022142671696,-0.07938302947604507,-0.05488754500222482
MIMIC,deletion_given_fixed_cohort,total_apparent_event_rate_bias,300,0.09387749539284139,0.007917278942626126,0.0004571043128774549,0.07737138237306782,0.1085615616153653
EICU,patient_or_hospital_plus_deletion,full_reference_event_rate,100,0.22392101215378937,0.006657935574448298,0.0006657935574448298,0.20788625253527407,0.23446369249450144
EICU,patient_or_hospital_plus_deletion,evaluable_reference_event_rate,100,0.3864423304319443,0.013673397635343617,0.0013673397635343616,0.3622110920100383,0.4130416307382021
EICU,patient_or_hospital_plus_deletion,evaluable_reconstructed_event_rate,100,0.329981902377384,0.012455609325107291,0.0012455609325107292,0.3054715874563672,0.3533950064185658
EICU,patient_or_hospital_plus_deletion,full_mean_prediction,100,0.26909244507348273,0.010570511617654913,0.0010570511617654912,0.2488524432008872,0.28692225797163506
EICU,patient_or_hospital_plus_deletion,evaluable_mean_prediction,100,0.3157140539511876,0.01097939624757935,0.001097939624757935,0.29309331065864747,0.3334130130982408
EICU,patient_or_hospital_plus_deletion,full_reference_oe,100,0.8330344838915106,0.03283416652202058,0.003283416652202058,0.7860500245160984,0.895368109278128
EICU,patient_or_hospital_plus_deletion,evaluable_reference_oe,100,1.2249161269096565,0.04764524860280862,0.004764524860280861,1.1597568347569132,1.3287913838453704
EICU,patient_or_hospital_plus_deletion,evaluable_reconstructed_oe,100,1.0460318587652173,0.04482053302584728,0.004482053302584728,0.9774364224883758,1.1393400308997108
EICU,patient_or_hospital_plus_deletion,outcome_observed_fraction,100,0.3616990024081012,0.010151015335493315,0.0010151015335493315,0.3406633987543044,0.3820703003480071
EICU,patient_or_hospital_plus_deletion,reconstructed_sensitivity,100,0.5329470884576605,0.01717368190131488,0.001717368190131488,0.49861224672878035,0.5703772025493337
EICU,patient_or_hospital_plus_deletion,reconstructed_specificity,100,1.0,0.0,0.0,1.0,1.0
EICU,patient_or_hospital_plus_deletion,selection_component,100,0.16252131827815497,0.011861130520225636,0.0011861130520225637,0.14217161977922319,0.18916519924494823
EICU,patient_or_hospital_plus_deletion,reconstruction_component,100,-0.0564604280545603,0.00705852438234067,0.000705852438234067,-0.06945539876390175,-0.042200146450260656
EICU,patient_or_hospital_plus_deletion,total_apparent_event_rate_bias,100,0.10606089022359466,0.011054724605191538,0.0011054724605191538,0.08643004387529053,0.1308741872858707
INSPIRE,patient_or_hospital_plus_deletion,full_reference_event_rate,100,0.0820107398568019,0.006560437255617088,0.0006560437255617088,0.0700626491646778,0.09307875894988067
INSPIRE,patient_or_hospital_plus_deletion,evaluable_reference_event_rate,100,0.23396867811511723,0.020894789690767388,0.0020894789690767386,0.19651919168395648,0.2678709725929546
INSPIRE,patient_or_hospital_plus_deletion,evaluable_reconstructed_event_rate,100,0.21041086002849405,0.019420670461056007,0.0019420670461056007,0.17816985645933014,0.2459150856968355
INSPIRE,patient_or_hospital_plus_deletion,full_mean_prediction,100,0.045757583505708105,0.000673727058878522,6.73727058878522e-05,0.04455167923336276,0.04717908157129477
INSPIRE,patient_or_hospital_plus_deletion,evaluable_mean_prediction,100,0.0673058272902635,0.0019750741980611866,0.00019750741980611866,0.0637464223979306,0.07139184354081402
INSPIRE,patient_or_hospital_plus_deletion,full_reference_oe,100,1.7921743630687252,0.13944020709700186,0.013944020709700185,1.5432751456827718,2.052326210185445
INSPIRE,patient_or_hospital_plus_deletion,evaluable_reference_oe,100,3.4767808949283237,0.3012554876470917,0.03012554876470917,2.9649957335993893,4.051102887796442
INSPIRE,patient_or_hospital_plus_deletion,evaluable_reconstructed_oe,100,3.1265808377054163,0.2787061092564304,0.027870610925643042,2.612609755512992,3.632363355241944
INSPIRE,patient_or_hospital_plus_deletion,outcome_observed_fraction,100,0.24935560859188544,0.009313422040549002,0.0009313422040549002,0.23329355608591884,0.26551312649164677
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_sensitivity,100,0.6399977025373582,0.042046863693230664,0.004204686369323066,0.5699325484424822,0.7314194690265486
INSPIRE,patient_or_hospital_plus_deletion,reconstructed_specificity,100,1.0,0.0,0.0,1.0,1.0
INSPIRE,patient_or_hospital_plus_deletion,selection_component,100,0.1519579382583153,0.016479837618402444,0.0016479837618402445,0.123134373731584,0.1821769325605724
INSPIRE,patient_or_hospital_plus_deletion,reconstruction_component,100,-0.02355781808662317,0.00742086458356375,0.0007420864583563751,-0.03736228458703988,-0.010918257756563252
INSPIRE,patient_or_hospital_plus_deletion,total_apparent_event_rate_bias,100,0.12840012017169214,0.015645254732294417,0.0015645254732294417,0.10307966224622424,0.15948168631052598
MIMIC,patient_or_hospital_plus_deletion,full_reference_event_rate,100,0.2266878083157153,0.0076886200735967495,0.000768862007359675,0.21295806906272022,0.24086504580690626
MIMIC,patient_or_hospital_plus_deletion,evaluable_reference_event_rate,100,0.3877249876621147,0.014255625240640361,0.001425562524064036,0.3631151784298176,0.4169745652407278
MIMIC,patient_or_hospital_plus_deletion,evaluable_reconstructed_event_rate,100,0.3219114828348905,0.013271532953358142,0.0013271532953358142,0.29501490406735537,0.3508072363647035
MIMIC,patient_or_hospital_plus_deletion,full_mean_prediction,100,0.22477138163881188,0.0023991240057141005,0.00023991240057141006,0.22045054409575507,0.22928330535020677
MIMIC,patient_or_hospital_plus_deletion,evaluable_mean_prediction,100,0.2758419984429103,0.0038896105003485924,0.00038896105003485924,0.26870643375535463,0.28239253429780653
MIMIC,patient_or_hospital_plus_deletion,full_reference_oe,100,1.008545172002574,0.03314813971983637,0.003314813971983637,0.95276610037477,1.0745660049954637
MIMIC,patient_or_hospital_plus_deletion,evaluable_reference_oe,100,1.405640791361779,0.048711413723378984,0.004871141372337898,1.3214863820406217,1.5047981864901
MIMIC,patient_or_hospital_plus_deletion,evaluable_reconstructed_oe,100,1.1669920672514746,0.04462461844258218,0.004462461844258218,1.0883459592583313,1.252782931586232
MIMIC,patient_or_hospital_plus_deletion,outcome_observed_fraction,100,0.4322410147991544,0.007395677968057828,0.0007395677968057828,0.4196264975334743,0.4459214235377026
MIMIC,patient_or_hospital_plus_deletion,reconstructed_sensitivity,100,0.6138935794855294,0.02036799227340269,0.002036799227340269,0.5731221101161131,0.6505691324200913
MIMIC,patient_or_hospital_plus_deletion,reconstructed_specificity,100,1.0,0.0,0.0,1.0,1.0
MIMIC,patient_or_hospital_plus_deletion,selection_component,100,0.16103717934639936,0.010071850148211131,0.0010071850148211132,0.14051357888320373,0.17781149437940977
MIMIC,patient_or_hospital_plus_deletion,reconstruction_component,100,-0.06581350482722417,0.007121881196286757,0.0007121881196286757,-0.07889047444490994,-0.05242322733301287
MIMIC,patient_or_hospital_plus_deletion,total_apparent_event_rate_bias,100,0.09522367451917516,0.010819772706778467,0.0010819772706778467,0.07489674120402494,0.1164627026137766
