center,n,events,event_rate,mean_prediction,oe_ratio,roc_auc
1,765,39,0.050980392156862744,0.09499024868959857,0.5366907957410695,0.6983294483294484
2,794,42,0.05289672544080604,0.08881449453128239,0.5955866294118768,0.6528622087132725
3,985,56,0.05685279187817259,0.10059502615178857,0.5651650389989162,0.605095725049977
4,991,14,0.014127144298688193,0.09126344546464128,0.1547952110153627,0.5866354730223717
5,175,1,0.005714285714285714,0.06397788702052178,0.08931657452914597,0.7873563218390804
