database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
MIMIC,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,0.1580689599012945,0.1061401987505448,-0.0567640931241775,0.3499858854899052,0.0,0.1580689599012945,0.1902997251770118
MIMIC,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,1.2730838166781362,0.1088893469155645,1.0612754557090134,1.4902094209879535,1.0,0.2730838166781362,0.2939253950187992
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9997916261562906,0.0019489886587906,0.9953024537585236,1.0038084739161448,1.0,-0.0002083738437094,0.0019568634584107
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.0463198662772458,0.0468389659711071,-0.1641411120794562,-6.920118944617514e-05,0.0,-0.0463198662772458,0.0658187342839432
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.9579473220637624,0.042161487328265,0.8499124018960079,0.9993792759259776,1.0,-0.0420526779362374,0.0594986842876484
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.9871809969904972,0.0115764645057114,0.963763335453476,1.007925487633213,1.0,-0.0128190030095028,0.0172596249527078
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,0.0513198506986747,0.0618959507888596,-0.0691494352756478,0.156916699499919,0.0,0.0513198506986747,0.0803247498432312
MIMIC,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,1.0610522379710756,0.0571548070055906,0.943136020926684,1.1643664859063587,1.0,0.0610522379710756,0.0835652967360077
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9997131372890544,0.0034838379261106,0.9920298778986854,1.0064690713625108,1.0,-0.0002868627109455,0.0034898366468007
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.1842905665986203,0.1722590808985936,-0.6108258366295692,-0.0054724878800512,0.0,-0.1842905665986203,0.2520660493853981
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.7407317390980352,0.2374424398807614,0.1780647171764861,0.9905105371556824,1.0,-0.2592682609019647,0.351299037374338
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.7359697787797657,0.0277244536712789,0.6801988135855193,0.7989916148287898,1.0,-0.2640302212202343,0.2654770063449417
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,-0.2137098046250467,0.2318442237033553,-0.6349669547745832,0.2704848652218826,0.0,-0.2137098046250467,0.3150308749587439
EICU,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,1.2730015259741445,0.3186918383556555,0.7142955711822697,2.019497801130477,1.0,0.2730015259741445,0.4192323612579747
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0000903296079904,0.0023605023813625,0.9950166502541784,1.0051090174182151,1.0,9.032960799038035e-05,0.0023582955056968
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.1165900678078263,0.1095558557413065,-0.3948763636693896,-0.0017363293630617,0.0,-0.1165900678078263,0.1598615687197921
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.8788340249775206,0.1135545570908589,0.6012011025179158,0.9981617383349878,1.0,-0.1211659750224793,0.1659302528608399
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.8675168203909607,0.0182172616495876,0.8328882544619493,0.9031238261461032,1.0,-0.1324831796090393,0.1337256717036427
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,-0.049999633803949,0.1472814748493063,-0.3193808788255141,0.2500211386068716,0.0,-0.049999633803949,0.15530450767724
EICU,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,1.139896072883247,0.152696227857848,0.8562495447604647,1.4581825050947153,1.0,0.139896072883247,0.2069041535353118
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0000801152379446,0.0019864217296387,0.995478425172435,1.0034838417785277,1.0,8.011523794460018e-05,0.0019847258841055
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.0737928002402965,0.076510000787029,-0.251493989806759,0.0007577229824662,0.0,-0.0737928002402965,0.1062056730452791
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.934272935284879,0.0679026005273178,0.7764296311444361,1.0002733950792326,1.0,-0.065727064715121,0.0944216129067403
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.9620588757103584,0.0124042971968631,0.937809026988768,0.9868808446404156,1.0,-0.0379411242896416,0.0399109334979817
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,-0.0524394691625273,0.0926672960072796,-0.2475622250780269,0.1121247412658386,0.0,-0.0524394691625273,0.1063414386909015
EICU,0.75,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,0.9994879552217444,0.0821383465020278,0.8361939305859177,1.1489705722418797,1.0,-0.0005120447782555,0.0820029336633056
