prior,center,n,events,raw_expected_events,raw_oe,unpooled_intercept_at_common_slope,common_slope_for_unpooled_intercept,intercept_posterior_mean,intercept_posterior_median,intercept_credible_lower_95,intercept_credible_upper_95,expected_events_posterior_mean,expected_events_posterior_median,expected_events_credible_lower_95,expected_events_credible_upper_95,posterior_oe_posterior_mean,posterior_oe_posterior_median,posterior_oe_credible_lower_95,posterior_oe_credible_upper_95,posterior_predictive_events_lower_95,posterior_predictive_events_upper_95,slope_structure
primary,1,765,39,40.951743619531356,0.952340402458456,0.3129693318665784,1.1413393156169163,0.3037689104361672,0.30612540815491524,-0.48413162953567723,1.078782835495027,39.8808622682437,38.415190447386536,21.298276935880025,66.52861566046964,1.0684876773729308,1.0152233933119024,0.5862139452442593,1.8311340460126007,19.0,69.0,common_across_centres
primary,2,794,42,25.3400064624577,1.6574581408345255,0.9964976768823541,1.1413393156169163,0.9328218064668128,0.9464573082919163,0.018222583538047725,1.753625007405692,40.81934081308235,40.14593142050105,20.37920780142568,64.38408461039727,1.1355618293814322,1.0461832249438054,0.6523351270349879,2.0609240861559366,18.0,67.0,common_across_centres
primary,3,985,56,37.63398087335794,1.4880169118554194,0.8513153073851825,1.1413393156169163,0.8012431572136998,0.8115598392347264,-0.06424040478094409,1.5723414285856565,54.90240627145315,54.12494047290377,28.6960067058613,84.78385146109765,1.1070909119445174,1.0346431702573815,0.6605031407274494,1.9514910439746125,26.0,88.0,common_across_centres
primary,4,991,14,44.639221628514946,0.31362554025935313,-0.8333315552371574,1.1413393156169163,-0.7387024016010432,-0.7586077260152706,-1.6269631228918702,0.2399120784307374,16.62735434170304,14.919041100941863,7.498556566612226,34.74534374519532,0.9917977982089212,0.938398111917242,0.4029316908281611,1.867026000269609,5.0,36.0,common_across_centres
primary,5,175,1,6.309389052851548,0.1584939510978558,-1.5033671098909474,1.1413393156169163,-1.0883402917847305,-1.056800051685423,-3.0287158899118674,0.655974067454968,2.125434859366186,1.5372951613909513,0.22935736686775315,7.172252013526727,1.127067566330352,0.6504931682279373,0.13942622194164464,4.360008199227348,0.0,8.0,common_across_centres
stronger_shrinkage,1,765,39,40.951743619531356,0.952340402458456,0.29519363508501106,1.1344065046774099,0.293783542409522,0.2941880131435676,-0.33313308805692815,0.9268996738621113,39.365524274754776,38.66524218551167,26.117634459640236,56.70746315732214,1.0308649820902822,1.0086578486404583,0.6877401637929133,1.4932439647983584,22.0,60.0,common_across_centres
stronger_shrinkage,2,794,42,25.3400064624577,1.6574581408345255,0.9749505195938346,1.1344065046774099,0.9303031301495294,0.9312368574998829,0.22625079222337952,1.6326554003147735,40.71473231029205,40.20097169920669,26.900205729211642,57.489625585544964,1.0729528062360312,1.0447508662505869,0.7305665951070406,1.5613263501418937,23.0,62.0,common_across_centres
stronger_shrinkage,3,985,56,37.63398087335794,1.4880169118554194,0.831594904014809,1.1344065046774099,0.8013531930213739,0.8028833307205616,0.15309087175488884,1.436804245966017,54.888768557037494,54.371451140617154,37.74443259730225,74.74138259773434,1.0524790657161514,1.0299522787275475,0.7492502605171136,1.4836625208805974,34.0,79.0,common_across_centres
stronger_shrinkage,4,991,14,44.639221628514946,0.31362554025935313,-0.8518908549957456,1.1344065046774099,-0.7489931880382653,-0.7490360890687167,-1.5213717889359837,0.030767770778597842,16.050994956916217,15.297847943265925,8.587626376591675,27.30852711956255,0.9547786322273307,0.915161408528601,0.5126603855047548,1.6302525745002827,6.0,30.0,common_across_centres
stronger_shrinkage,5,175,1,6.309389052851548,0.1584939510978558,-1.5228209578588143,1.1344065046774099,-0.8503182236937863,-0.8165298561324164,-2.383551075316666,0.4799711517784126,2.334455487977949,1.9841213384894978,0.44612199799413327,6.2853552271918565,0.6760638060538828,0.5040014342414586,0.1590999985795851,2.2415393274815343,0.0,8.0,common_across_centres
weaker_shrinkage,1,765,39,40.951743619531356,0.952340402458456,0.3265049752893169,1.1466238871116983,0.312296205138703,0.31637115106545766,-0.727730408662861,1.331110345715986,41.18693472333848,38.42308319266737,15.769463259906841,83.46079545907853,1.168026467104988,1.0150148494723306,0.46728526642565604,2.4731342708879005,14.0,85.02499999999782,common_across_centres
weaker_shrinkage,2,794,42,25.3400064624577,1.6574581408345255,1.0129080540019673,1.1466238871116983,0.9254621130534553,0.9555206844908912,-0.29499967157430096,1.9369608076429201,41.44877393714183,40.04284995470884,13.85700553227328,77.98442656728464,1.355373667229916,1.0488763926759683,0.5385690786780378,3.0309578926031793,13.0,80.0,common_across_centres
weaker_shrinkage,3,985,56,37.63398087335794,1.4880169118554194,0.8663294981094865,1.1466238871116983,0.7930579478316901,0.8226394226474208,-0.375492361299631,1.7529474694228575,55.637147614946045,54.01266424730008,20.19594098997159,101.7503480328344,1.294357312687155,1.0367938849802258,0.550366670134241,2.772834406856071,19.0,103.0,common_across_centres
weaker_shrinkage,4,991,14,44.639221628514946,0.31362554025935313,-0.8192048467475328,1.1466238871116983,-0.7064885414131276,-0.7430118491474571,-1.7713043690929742,0.6135386352448678,18.425745630748313,14.873409159779392,6.274073310322036,49.258909987467035,1.042068930982572,0.941277137710238,0.28421254418474323,2.2314052309123937,4.0,50.0,common_across_centres
weaker_shrinkage,5,175,1,6.309389052851548,0.1584939510978558,-1.4885653780928667,1.1466238871116983,-1.1589517246806502,-1.1373030635721961,-3.4036293744052957,0.9246555587263883,2.3047097850676277,1.398087021593867,0.15586067743126147,9.20153035383377,1.7701648514016017,0.7152630592595768,0.10867757549827146,6.415986485654632,0.0,10.0,common_across_centres
