transport_direction,training_database,validation_database,model_specification,predictors,n_train,events_train,n_validation,events_validation,prediction_landmark,development_endpoint,validation_endpoint,endpoint_equivalent_to_development,local_recalibration,bootstrap_unit,n,events,event_rate,expected_events,oe_ratio,roc_auc,average_precision,brier,log_loss,calibration_in_the_large,calibration_intercept_joint,calibration_slope,calibration_inference_status,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,calibration_in_the_large_ci_lower,calibration_in_the_large_ci_upper,calibration_intercept_joint_ci_lower,calibration_intercept_joint_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper
INSPIRE_internal_5fold,INSPIRE,INSPIRE,fixed_C6_ridge,Age|LogPreopCr|PreopHb|Gender|Diabetes|Gastrocolorectal,1676,138,1676,138,surgery end,0-168 h creatinine-defined AKI in dense-reference cohort,same internal endpoint,True,False,not_applied_to_internal_5fold,1676,138,0.08233890214797136,137.4753856708773,1.0038160600645896,0.7672796404138633,0.2262460215095574,0.06954871816886014,0.24986965536305544,0.004520936644998907,0.05982509686389217,1.0266143645460766,estimable,,,,,,,,,,,,,,,,
INSPIRE_to_MIMIC-IV,INSPIRE,MIMIC-IV,fixed_C6_ridge,Age|LogPreopCr|PreopHb|Gender|Diabetes|Gastrocolorectal,1676,138,4240,331,surgery end; MIMIC uses first qualifying procedure calendar date,0-168 h creatinine-defined AKI in INSPIRE dense-reference cohort,0-168 h creatinine-defined AKI,True,False,analytic record,4240,331,0.07806603773584905,660.7110876043375,0.5009753978855841,0.5991649914713817,0.11570389003483729,0.08441867034278677,0.3091608176454448,-0.8448845149064076,-1.7582737637078452,0.39202007043932274,estimable,0.5659834218269038,0.6326483896792012,0.09770381940382755,0.14079449806564623,0.0789890150287228,0.09018203723118383,0.2940861635298313,0.3257578114750683,0.4510992364387762,0.5519148227842297,-0.9644456649181415,-0.7339899751438764,-2.008457844129353,-1.521462259668761,0.26045178034219585,0.5280493273505156
INSPIRE_to_Five-centre-source,INSPIRE,Five-centre-source,fixed_C6_ridge,Age|LogPreopCr|PreopHb|Gender|Diabetes|Gastrocolorectal,1676,138,4014,155,surgery end; MIMIC uses first qualifying procedure calendar date,0-168 h creatinine-defined AKI in INSPIRE dense-reference cohort,"site-adjudicated KDIGO 2012 using creatinine, urine output and RRT",False,False,patient stratified by centre,4014,155,0.03861484803188839,433.42595557275234,0.3576158695784028,0.6861379765775857,0.09352835608945918,0.04331184270035893,0.1891911463215989,-1.1527761952442004,-1.388669634897426,0.8711482087953469,estimable,0.641445930428004,0.7312689117071018,0.07325883446951925,0.12827523226333865,0.039091546669401366,0.047403158801312906,0.1771266103229933,0.20101444710542454,0.305514258785698,0.41327486813053266,-1.3205628281401611,-0.9965764865772727,-1.8294858347780136,-0.9718361462420809,0.6460995371628289,1.0863835445747259
