centre,n,events,event_rate,mean_predicted_probability,oe_ratio,roc_auc,calibration_slope,calibration_inference_status
1,765,39,0.050980392156862744,0.11218537891495574,0.45442991457478077,0.7455145864236773,1.184541749165572,estimable_with_caution
2,794,42,0.05289672544080604,0.10690055260423946,0.49482181478179066,0.6665083586626139,0.7599399938583182,estimable_with_caution
3,985,56,0.05685279187817259,0.12289538809455505,0.4626112725599626,0.6344091188682147,0.7185127067952688,estimable_with_caution
4,991,14,0.014127144298688193,0.10719463273568201,0.13178966090142377,0.5902178681093727,,descriptive_only_fewer_than_20_events
5,175,1,0.005714285714285714,0.04474745206310369,0.12770080643311985,0.8160919540229885,,descriptive_only_fewer_than_20_events
