method,event_rate,bias_vs_full_observable
full observable operational reference,0.05847750865051903,0.0
naive dense subset,0.11131725417439703,0.052839745523878
IPAW raw,0.09149481793120656,0.03301730928068753
IPAW truncated 99th percentile,0.09325624473131665,0.034778736080797616
AIPW,0.08687411039877074,0.02839660174825171
