transport_direction,training_database,validation_database,model_specification,predictors,n_train,events_train,n_validation,events_validation,prediction_landmark,development_endpoint,validation_endpoint,endpoint_equivalent_to_development,local_recalibration,bootstrap_unit,n,events,event_rate,expected_events,oe_ratio,roc_auc,average_precision,brier,log_loss,calibration_in_the_large,calibration_intercept_joint,calibration_slope,calibration_inference_status,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,calibration_in_the_large_ci_lower,calibration_in_the_large_ci_upper,calibration_intercept_joint_ci_lower,calibration_intercept_joint_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper
INSPIRE_to_MIMIC-IV,INSPIRE,MIMIC-IV,fixed_C6_ridge,Age|LogPreopCr|PreopHb|Gender|Diabetes|Gastrocolorectal,1676,138,4240,331,surgery end; MIMIC uses first qualifying procedure calendar date,0-168 h creatinine-defined AKI in INSPIRE dense-reference cohort,0-168 h creatinine-defined AKI,True,False,analytic record,4240,331,0.078066037735849,660.7110876043375,0.5009753978855841,0.5991649914713817,0.1157038900348372,0.0844186703427867,0.3091608176454448,-0.8448845149064076,-1.7582737637078452,0.3920200704393227,estimable,0.5659834218269038,0.6326483896792012,0.0977038194038275,0.1407944980656462,0.0789890150287228,0.0901820372311838,0.2940861635298313,0.3257578114750683,0.4510992364387762,0.5519148227842297,-0.9644456649181417,-0.7339899751438764,-2.008457844129353,-1.521462259668761,0.2604517803421958,0.5280493273505156
INSPIRE_to_Five-centre-source,INSPIRE,Five-centre-source,fixed_C6_ridge,Age|LogPreopCr|PreopHb|Gender|Diabetes|Gastrocolorectal,1676,138,4014,155,surgery end; MIMIC uses first qualifying procedure calendar date,0-168 h creatinine-defined AKI in INSPIRE dense-reference cohort,"site-adjudicated KDIGO 2012 using creatinine, urine output and RRT",False,False,patient stratified by centre,4014,155,0.0386148480318883,433.42595557275234,0.3576158695784028,0.6861379765775857,0.0935283560894591,0.0433118427003589,0.1891911463215989,-1.1527761952442004,-1.388669634897426,0.8711482087953469,estimable,0.641445930428004,0.7312689117071018,0.0732588344695192,0.1282752322633386,0.0390915466694013,0.0474031588013129,0.1771266103229933,0.2010144471054245,0.305514258785698,0.4132748681305326,-1.3205628281401611,-0.9965764865772728,-1.8294858347780136,-0.9718361462420808,0.6460995371628289,1.086383544574726
