transport_direction,training_database,validation_database,model_specification,predictors,n_train,events_train,n_validation,events_validation,prediction_landmark,endpoint,local_recalibration,bootstrap_unit,n,events,event_rate,expected_events,oe_ratio,roc_auc,average_precision,brier,log_loss,calibration_in_the_large,calibration_intercept_joint,calibration_slope,calibration_inference_status,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,calibration_in_the_large_ci_lower,calibration_in_the_large_ci_upper,calibration_intercept_joint_ci_lower,calibration_intercept_joint_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper
INSPIRE_to_MIMIC-IV,INSPIRE,MIMIC-IV,minimal,age|log_baseline_creatinine|sex,7654,1195,7094,1598,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,patient,7094,1598,0.2252607837609247,1198.2775762144547,1.3335808261123692,0.5583300541251528,0.2566145260990466,0.1764379221843021,0.5402783063959627,0.361179348493913,0.1737349457376215,0.8815189423289997,estimable,0.5413370175202751,0.5734684186477855,0.2414812396954275,0.2736210876391575,0.1698479429928647,0.1832084091567257,0.5240949613058038,0.5566530760388371,1.2753623605586504,1.395181472424621,0.3036021694048696,0.4202441657699965,-0.2188326976969053,0.5672371021543744,0.6328932470078293,1.13292077592685
INSPIRE_to_eICU,INSPIRE,eICU,minimal,age|log_baseline_creatinine|sex,7654,1195,9689,2216,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,hospital,9689,2216,0.2287129734750748,1608.7847249370252,1.3774372454255766,0.5338130627660299,0.2458660720882214,0.1800937465817387,0.5511073205063888,0.4023351766125246,-0.4506809206401179,0.4697878603221694,estimable,0.5209544170956636,0.5514833695400085,0.2310995853987718,0.2647213746370395,0.1721184805613828,0.188091245504548,0.5315554831751672,0.570235247311534,1.29812833038552,1.4537690448725284,0.3258281624232922,0.4722427943844502,-0.7521635301280568,-0.0148719497098279,0.3021235260129605,0.7308603403803049
INSPIRE_to_MIMIC-IV,INSPIRE,MIMIC-IV,extended_common,age|log_baseline_creatinine|baseline_albumin|baseline_bun|baseline_glucose|baseline_sodium|baseline_potassium|baseline_hemoglobin|baseline_wbc|baseline_platelet|sex,7654,1195,7094,1598,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,patient,7094,1598,0.2252607837609247,1129.4268789388336,1.4148768988935518,0.5774751645524883,0.2776544415712945,0.1809727119690879,0.5780043007504285,0.4752388635944569,-0.7684532975907229,0.2515691815438265,estimable,0.562005425181595,0.5921898046877012,0.2612291369953077,0.2968448281351096,0.1743743677828741,0.1877625644095277,0.5582560480554688,0.5978550218010122,1.3493503035261534,1.4790985773854144,0.4078619110592465,0.5390839600437458,-0.8920172442239044,-0.6411642669738608,0.1879872486479232,0.3187528367326258
INSPIRE_to_eICU,INSPIRE,eICU,extended_common,age|log_baseline_creatinine|baseline_albumin|baseline_bun|baseline_glucose|baseline_sodium|baseline_potassium|baseline_hemoglobin|baseline_wbc|baseline_platelet|sex,7654,1195,9689,2216,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,hospital,9689,2216,0.2287129734750748,1869.5224277381533,1.1853294547961284,0.5565929041299581,0.257330128339797,0.1887400064537787,0.5893490786646155,0.2457940168206044,-0.933004623518667,0.1727175821429105,estimable,0.5383590282348913,0.5719545304918352,0.237795655785677,0.2758144983340243,0.1812441965429917,0.1962992541513483,0.5679836577463656,0.6149423200964101,1.099150761963154,1.271303671108804,0.1373934730255524,0.3489728832758222,-1.0719879080897994,-0.8129023729917002,0.1057657116249066,0.2325483918748278
