target_database,INSPIRE,MIMIC,EICU,VitalDB
INSPIRE,0.2654710144927536,0.7781884057971016,0.5211594202898552,0.8482971014492753
MIMIC,0.2678549382716049,0.7655092592592593,0.5255015432098766,0.827368827160494
EICU,0.2655745554035568,0.8014774281805745,0.5596374829001367,0.8834268125854993
VitalDB,0.2070652173913043,0.7239130434782608,0.4619565217391304,0.8225
