database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse,method_label
EICU,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.6711460725565457,0.0361433733151197,0.5955162327507753,0.7441474137439167,0.8265876547126386,-0.1554415821560929,0.1595746672240621,AIPW
EICU,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.6803850074572937,0.031088997305505,0.621341193968328,0.7440329490714623,0.8265876547126386,-0.1462026472553449,0.1494607576102201,IPAW truncated
EICU,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.672552485062902,0.0309106553258658,0.6129783249922818,0.7356524417205527,0.8265876547126386,-0.1540351696497366,0.1570958853895353,IPAW untruncated
EICU,0.35,mixed_MNAR,strong,naive,reconstructed,oe,300,1.0333948327330666,0.0321316534941424,0.9700687935425047,1.094068671881761,0.8265876547126386,0.206807178020428,0.2092802201830193,Naive
EICU,0.55,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.7340046867301993,0.019384905732904,0.697586200468589,0.7713058628671946,0.8265876547126386,-0.0925829679824393,0.0945839730018254,AIPW
EICU,0.55,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.738734259779812,0.0176303697195307,0.7085058093465847,0.7722489402861934,0.8265876547126386,-0.0878533949328266,0.0895991787790625,IPAW truncated
EICU,0.55,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.7344677068303364,0.0175161654876364,0.70271319739553,0.7677936237889416,0.8265876547126386,-0.0921199478823022,0.0937650154964546,IPAW untruncated
EICU,0.55,mixed_MNAR,strong,naive,reconstructed,oe,300,0.918340508454623,0.0169246791415506,0.8853209610863287,0.9509759660398174,0.8265876547126386,0.0917528537419843,0.0932956382579715,Naive
EICU,0.75,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.7834002262221571,0.0112749548704923,0.7595479144148893,0.8051124650557729,0.8265876547126386,-0.0431874284904815,0.0446302009659489,AIPW
EICU,0.75,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.7853588556749131,0.0106167985717906,0.7628276404807975,0.8060289275192871,0.8265876547126386,-0.0412287990377254,0.0425694087418897,IPAW truncated
EICU,0.75,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.7836005171687608,0.0106194301480486,0.7613250438838867,0.804107077396382,0.8265876547126386,-0.0429871375438778,0.044275166665186,IPAW untruncated
EICU,0.75,mixed_MNAR,strong,naive,reconstructed,oe,300,0.8497978595654736,0.0101932792635667,0.8280461684751221,0.8697062424026775,0.8265876547126386,0.0232102048528349,0.0253430504934813,Naive
