database,retention_target,mean,q025,q975
EICU,0.35,0.43946458428332563,0.3308959188326493,0.7557113543091655
EICU,0.55,0.6779662562699498,0.5981663246694027,0.9037571819425444
EICU,0.75,0.85890484876121,0.8183997948016416,0.9658465572275421
INSPIRE,0.35,0.4802314814814815,0.2919474637681159,0.8469112318840581
INSPIRE,0.55,0.6823812399355877,0.5303894927536231,0.9293411835748793
INSPIRE,0.75,0.8421980676328502,0.7467216183574878,0.9698798309178743
MIMIC,0.35,0.5280062585733881,0.4372451131687242,0.7946237139917696
MIMIC,0.55,0.7505941358024691,0.683718492798354,0.9215100308641972
MIMIC,0.75,0.8953630829903978,0.8618905606995885,0.9720054012345679
