transport_direction,model_specification,predictors,n_train,events_train,n_validation,events_validation,prediction_landmark,endpoint,local_recalibration,bootstrap_unit,n,events,event_rate,expected_events,oe_ratio,roc_auc,average_precision,brier,log_loss,calibration_in_the_large,calibration_intercept_joint,calibration_slope,calibration_inference_status,roc_auc_ci_lower,roc_auc_ci_upper,average_precision_ci_lower,average_precision_ci_upper,brier_ci_lower,brier_ci_upper,log_loss_ci_lower,log_loss_ci_upper,oe_ratio_ci_lower,oe_ratio_ci_upper,calibration_in_the_large_ci_lower,calibration_in_the_large_ci_upper,calibration_intercept_joint_ci_lower,calibration_intercept_joint_ci_upper,calibration_slope_ci_lower,calibration_slope_ci_upper,direction_label
MIMIC-IV_to_eICU,minimal,age|log_baseline_creatinine|sex,7094,1598,9689,2216,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,hospital,9689,2216,0.2287129734750748,2282.1133598747165,0.9710297652004692,0.5647867219704534,0.2606850845382249,0.1769130336605666,0.5381060692385883,-0.0394143020875987,-0.6299117614688418,0.4897166037321533,estimable,0.5476964308136342,0.5846307917886491,0.2423351292224041,0.2827462584576364,0.1712868261350273,0.1829729412736704,0.5259410180977299,0.5515995928502533,0.9118113799095248,1.034514729741193,-0.1232543674069281,0.0456680321232578,-0.8523911044374649,-0.3778901343625712,0.340147406627289,0.6662799363916113,MIMIC-IV → eICU
MIMIC-IV_to_eICU,extended_common,age|log_baseline_creatinine|baseline_albumin|baseline_bun|baseline_glucose|baseline_sodium|baseline_potassium|baseline_hemoglobin|baseline_wbc|baseline_platelet|sex,7094,1598,9689,2216,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,hospital,9689,2216,0.2287129734750748,2584.640648568584,0.8573725717837244,0.5687244839545106,0.2727188065064743,0.1798700008288071,0.5444314795142389,-0.2156971038049049,-0.7553674142416821,0.4421690096934794,estimable,0.5503455281255138,0.586572904962925,0.2551582884462463,0.292006875336413,0.1736720545078141,0.1855702848536368,0.530598196733862,0.5575741818493484,0.7938790473309455,0.9275991666171036,-0.3223883788991064,-0.1051517383052502,-0.9130697056367336,-0.5993460312094409,0.3232141098403794,0.5593784604439763,MIMIC-IV → eICU
eICU_to_MIMIC-IV,minimal,age|log_baseline_creatinine|sex,9689,2216,7094,1598,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,analytic_record,7094,1598,0.2252607837609247,1589.460018794685,1.0053728820507175,0.611460172194865,0.3161300376341603,0.170969337487487,0.5237353157270582,0.0069576157814426,1.223842546701586,1.9939792215102867,estimable,0.5932802722583832,0.6274285470432694,0.2948041094684123,0.336638930664504,0.1658820711676423,0.1757336620119335,0.512228438721238,0.534604993112659,0.9619566237838264,1.0438645472144934,-0.0500193897777392,0.0560451922512797,0.8217611419463562,1.5833037345083234,1.6778991585504253,2.2887202818084567,eICU → MIMIC-IV
eICU_to_MIMIC-IV,extended_common,age|log_baseline_creatinine|baseline_albumin|baseline_bun|baseline_glucose|baseline_sodium|baseline_potassium|baseline_hemoglobin|baseline_wbc|baseline_platelet|sex,9689,2216,7094,1598,ICU admission,0-168 h creatinine-defined AKI among dense-reference stays,False,analytic_record,7094,1598,0.2252607837609247,1536.5505088940197,1.0399918458588195,0.5872045069072878,0.3145018953988178,0.1707528575601943,0.5248034508886339,0.0516340420638266,-0.1321691733513429,0.8536681933350965,estimable,0.5714019992203057,0.6034862960682241,0.2924329763070952,0.3376606345224694,0.164938272249431,0.1768958691969227,0.5110550763165893,0.5391666518201669,0.9944217989434828,1.0910218780105496,-0.0073048386531855,0.1156178592804121,-0.3439704627038147,0.0612373438768702,0.7054253944668087,0.9957295884730044,eICU → MIMIC-IV
